,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1002/jae.2716,No abstract is available for this article.
1,Prediction regions for interval‐valued time series,"Gloria Gonzalez‐Rivera, Yun Luo, Esther Ruiz",https://onlinelibrary.wiley.com/doi/10.1002/jae.2754,"We approximate probabilistic forecasts for interval‐valued time series by offering alternative approaches. After fitting a possibly non‐Gaussian bivariate vector autoregression (VAR) model to the center/log‐range system, we transform prediction regions (analytical and bootstrap) for this system into regions for center/range and upper/lower bounds systems. Monte Carlo simulations show that bootstrap methods are preferred according to several new metrics. For daily S&P 500 low/high returns, we build joint conditional prediction regions of the return level and volatility. We illustrate the usefulness of obtaining bootstrap forecasts regions for low/high returns by developing a trading strategy and showing its profitability when compared to using point forecasts."
2,Comparing predictive accuracy in small samples using fixed‐smoothing asymptotics,"Laura Coroneo, Fabrizio Iacone",https://onlinelibrary.wiley.com/doi/10.1002/jae.2756,"We consider fixed‐smoothing asymptotics for the Diebold and Mariano (Journal of Business and Economic Statistics, 1995, 13(3), 253–263) test of predictive accuracy. We show that this approach delivers predictive accuracy tests that are correctly sized even when only a small number of out‐of‐sample observations is available. We apply the fixed‐smoothing asymptotics to the Diebold and Mariano test to evaluate the predictive accuracy of the Survey of Professional Forecasters (SPF) and of the European Central Bank Survey of Professional Forecasters (ECB SPF) against a simple random walk. Our results show that the predictive abilities of the SPF and of the ECB SPF were partially spurious."
3,Exchange rate predictability and dynamic Bayesian learning,"Joscha Beckmann, Gary Koop, Dimitris Korobilis, Rainer Alexander Schüssler",https://onlinelibrary.wiley.com/doi/10.1002/jae.2761,"We consider how an investor in the foreign exchange market can exploit predictive information by means of flexible Bayesian inference. Using a variety of vector autoregressive models, the investor is able, each period, to learn about important data features. The developed methodology synthesizes a wide array of established approaches for modeling exchange rate dynamics. In a thorough investigation of monthly exchange rate predictability for 10 countries, we find that using the proposed methodology for dynamic asset allocation achieves substantial economic gains out of sample. In particular, we find evidence for sparsity, fast model switching, and exploitation of the exchange rate cross‐section."
4,Complementary Bayesian method of moments strategies,A. Ronald Gallant,https://onlinelibrary.wiley.com/doi/10.1002/jae.2758,Methodology is proposed that addresses two problems that arise in application of the generalized method of moments representation of the likelihood in Bayesian inference: (1) a missing Jacobian term and (2) a normality assumption. The proposals are illustrated by application to the seminal application of the generalized method of moments methodology in the econometric literature: an endowment economy whose representative agent has constant relative risk aversion utility.
5,Order‐invariant tests for proper calibration of multivariate density forecasts,"Jonas Dovern, Hans Manner",https://onlinelibrary.wiley.com/doi/10.1002/jae.2755,Established tests for proper calibration of multivariate density forecasts based on Rosenblatt probability integral transforms can be manipulated by changing the order of variables in the forecasting model. We derive order‐invariant tests. The new tests are applicable to densities of arbitrary dimensions and can deal with parameter estimation uncertainty and dynamic misspecification. Monte Carlo simulations show that they often have superior power relative to established approaches. We use the tests to evaluate generalized autoregressive conditional heteroskedasticity‐based multivariate density forecasts for a vector of stock market returns and macroeconomic forecasts from a Bayesian vector autoregression with time‐varying parameters.
6,Estimation of firm‐level productivity in the presence of exports: Evidence from China's manufacturing,"Emir Malikov, Shunan Zhao, Subal C. Kumbhakar",https://onlinelibrary.wiley.com/doi/10.1002/jae.2757,"Motivated by the long‐standing interest of economists in understanding the nexus between firm productivity and export behavior, this paper develops a novel structural framework for control‐function‐based nonparametric identification of the gross production function and latent firm productivity in the presence of endogenous export opportunities that is robust to recent unidentification critiques of proxy estimators. We provide a workable identification strategy, whereby the firm's degree of export orientation provides the needed (excluded) relevant independent exogenous variation in endogenous freely varying inputs, thus allowing us to identify the production function. We estimate our fully nonparametric instrumental variable model using the Landweber–Fridman regularization with the unknown functions approximated via artificial neural network sieves with a sigmoid activation function, which are known for their superior performance relative to other popular sieve approximators, including the polynomial series favored in the literature. Using our methodology, we obtain robust productivity estimates for manufacturing firms from 28 industries in China during the 1999–2006 period to take a close look at China's exporter productivity puzzle, whereby exporters are found to exhibit lower productivity levels than nonexports."
7,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1002/jae.2715,No abstract is available for this article.
8,Assessing international commonality in macroeconomic uncertainty and its effects,"Andrea Carriero, Todd E. Clark, Massimiliano Marcellino",https://onlinelibrary.wiley.com/doi/10.1002/jae.2750,"This paper uses a large vector autoregression to measure international macroeconomic uncertainty and its effects on major economies. We provide evidence of significant commonality in macroeconomic volatility, with one common factor driving strong comovement across economies and variables. We measure uncertainty and its effects with a large model in which the error volatilities feature a factor structure containing time‐varying global components and idiosyncratic components. Global uncertainty contemporaneously affects both the levels and volatilities of the included variables. Our new estimates of international macroeconomic uncertainty indicate that surprise increases in uncertainty reduce output and stock prices, adversely affect labor market conditions, and in some economies lead to an easing of monetary policy."
9,Common correlated effects estimation of heterogeneous dynamic panel quantile regression models,"Matthew Harding, Carlos Lamarche, M. Hashem Pesaran",https://onlinelibrary.wiley.com/doi/10.1002/jae.2753,This paper proposes a quantile regression estimator for a heterogeneous panel model with lagged dependent variables and interactive effects. The paper adopts the Common Correlated Effects (CCE) approach proposed in the literature and demonstrates that the extension to the estimation of dynamic quantile regression models is feasible under similar conditions to the ones used in the literature. The new quantile regression estimator is shown to be consistent and its asymptotic distribution is derived. Monte Carlo studies are carried out to study the small sample behavior of the proposed approach. The evidence shows that the estimator can significantly improve on the performance of existing estimators as long as the time series dimension of the panel is large. We present an application to the evaluation of Time‐of‐Use pricing using a large randomized control trial.
