,title,author,link,abstract
0,Cover Picture: Biometrical Journal 4'20,no author,https://onlinelibrary.wiley.com/doi/10.1002/bimj.202070041,no abstract
1,Editorial Board: Biometrical Journal 4'20,no author,https://onlinelibrary.wiley.com/doi/10.1002/bimj.202070042,no abstract
2,Masthead: Biometrical Journal 4'20,no author,https://onlinelibrary.wiley.com/doi/10.1002/bimj.202070043,no abstract
3,Contents: Biometrical Journal 4'20,no author,https://onlinelibrary.wiley.com/doi/10.1002/bimj.202070045,no abstract
4,Editorial: Year 2019 Report,"Marco Alfò, Dankmar Böhning",https://onlinelibrary.wiley.com/doi/10.1002/bimj.202000074,no abstract
5,Regressive models for risk prediction of repeated multinomial outcomes: An illustration using Health and Retirement Study data,"Rafiqul I. Chowdhury, Mohammed Ataharul Islam",https://onlinelibrary.wiley.com/doi/10.1002/bimj.201800101,"Life expectancy is increasing in many countries and this may lead to a higher frequency of adverse health outcomes. Therefore, there is a growing demand for predicting the risk of a sequence of events based on specified factors from repeated outcomes. We proposed regressive models and a framework to predict the joint probabilities of a sequence of events for multinomial outcomes from longitudinal studies. The Markov chain is used to link marginal and sequence of conditional probabilities to predict the joint probability. Marginal and sequence of conditional probabilities are estimated using marginal and regressive models. An application is shown using the Health and Retirement Study data. The bias of parameter estimates for all models from all bootstrap simulation is less than 1% in most of the cases. The estimated mean squared error is also very low. Results from the simulation study show negligible bias and the usefulness of the proposed model. The proposed model and framework would be useful to solve real‐life problems from various fields and big data analysis."
6,Modeling tails for collinear data with outliers in the English Longitudinal Study of Ageing: Quantile profile regression,"Xi Liu, Silvia Liverani, Kimberley J. Smith, Keming Yu",https://onlinelibrary.wiley.com/doi/10.1002/bimj.201900146,"Research has shown that high blood glucose levels are important predictors of incident diabetes. However, they are also strongly associated with other cardiometabolic risk factors such as high blood pressure, adiposity, and cholesterol, which are also highly correlated with one another. The aim of this analysis was to ascertain how these highly correlated cardiometabolic risk factors might be associated with high levels of blood glucose in older adults aged 50 or older from wave 2 of the English Longitudinal Study of Ageing (ELSA). Due to the high collinearity of predictor variables and our interest in extreme values of blood glucose we proposed a new method, called quantile profile regression, to answer this question. Profile regression, a Bayesian nonparametric model for clustering responses and covariates simultaneously, is a powerful tool to model the relationship between a response variable and covariates, but the standard approach of using a mixture of Gaussian distributions for the response model will not identify the underlying clusters correctly, particularly with outliers in the data or heavy tail distribution of the response. Therefore, we propose quantile profile regression to model the response variable with an asymmetric Laplace distribution, allowing us to model more accurately clusters that are asymmetric and predict more accurately for extreme values of the response variable and/or outliers. Our new method performs more accurately in simulations when compared to Normal profile regression approach as well as robustly when outliers are present in the data. We conclude with an analysis of the ELSA."
7,Developing risk models for multicenter data using standard logistic regression produced suboptimal predictions: A simulation study,"Nora Falconieri, Ben Van Calster, Dirk Timmerman, Laure Wynants",https://onlinelibrary.wiley.com/doi/10.1002/bimj.201900075,"Although multicenter data are common, many prediction model studies ignore this during model development. The objective of this study is to evaluate the predictive performance of regression methods for developing clinical risk prediction models using multicenter data, and provide guidelines for practice. We compared the predictive performance of standard logistic regression, generalized estimating equations, random intercept logistic regression, and fixed effects logistic regression. First, we presented a case study on the diagnosis of ovarian cancer. Subsequently, a simulation study investigated the performance of the different models as a function of the amount of clustering, development sample size, distribution of center‐specific intercepts, the presence of a center‐predictor interaction, and the presence of a dependency between center effects and predictors. The results showed that when sample sizes were sufficiently large, conditional models yielded calibrated predictions, whereas marginal models yielded miscalibrated predictions. Small sample sizes led to overfitting and unreliable predictions. This miscalibration was worse with more heavily clustered data. Calibration of random intercept logistic regression was better than that of standard logistic regression even when center‐specific intercepts were not normally distributed, a center‐predictor interaction was present, center effects and predictors were dependent, or when the model was applied in a new center. Therefore, to make reliable predictions in a specific center, we recommend random intercept logistic regression."
8,Population size estimation with interval censored counts and external information: Prevalence of multiple sclerosis in Rome,Alessio Farcomeni,https://onlinelibrary.wiley.com/doi/10.1002/bimj.201900268,"We discuss Bayesian log‐linear models for incomplete contingency tables with both missing and interval censored cells, with the aim of obtaining reliable population size estimates. We also discuss use of external information on the censoring probability, which may substantially reduce uncertainty. We show in simulation that information on lower bounds and external information can each improve the mean squared error of population size estimates, even when the external information is not completely accurate. We conclude with an original example on estimation of prevalence of multiple sclerosis in the metropolitan area of Rome, where five out of six lists have interval censored counts. External information comes from mortality rates of multiple sclerosis patients."
9,Bayesian latent class models for capture–recapture in the presence of missing data,"Davide Di Cecco, Marco Di Zio, Brunero Liseo",https://onlinelibrary.wiley.com/doi/10.1002/bimj.201900111,"We propose a method for estimating the size of a population in a multiple record system in the presence of missing data. The method is based on a latent class model where the parameters and the latent structure are estimated using a Gibbs sampler. The proposed approach is illustrated through the analysis of a data set already known in the literature, which consists of five registrations of neural tube defects."
10,A nonparametric method of estimation of the population size in capture–recapture experiments,"María Dolores Jiménez‐Gamero, Pedro Puig",https://onlinelibrary.wiley.com/doi/10.1002/bimj.201900185,"A recent method for estimating a lower bound of the population size in capture–recapture samples is studied. Specifically, some asymptotic properties, such as strong consistency and asymptotic normality, are provided. The introduced estimator is based on the empirical probability generating function (pgf) of the observed data, and it is consistent for count distributions having a log‐convex pgf (‐class). This is a large family that includes mixed and compound Poisson distributions, and their independent sums and finite mixtures as well. The finite‐sample performance of the lower bound estimator is assessed via simulation showing a better behavior than some close competitors. Several examples of application are also analyzed and discussed."
