,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12532,no abstract
1,"Eulogy Gerald A. (Jerry) Feltham, 1938–2019",A personal remembrance by Dan A. Simunic,https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12626,no abstract
2,The Influence of Firms' Emissions Management Strategy Disclosures on Investors' Valuation Judgments†,"Joseph A. Johnson, Jochen Theis, Adam Vitalis, Donald Young",https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12545,"Recent accounting research indicates that capital markets price firms' greenhouse gas (GHG) emissions and that disclosed emissions levels are negatively associated with firms' market values. The departure point for this study is to investigate whether investors value firms differently based on the strategies firms use to mitigate GHG emissions. These strategies include making operational changes, which reduces emissions attributable to the firm, and purchasing offsets, which reduces emissions unattributable to the firm. Using an experiment, we hold constant a firm's financial performance, investment in emissions mitigation, and net emissions, and find evidence that nonprofessional investors perceive the firm to be more valuable when it primarily uses an operational change strategy versus an offsets strategy. However, consistent with theory, this result only occurs when the firm's prior sustainability performance is below the industry average and not when it is above the industry average. This difference in firm value is consistent with the notion that nonprofessional investors believe information about a firm's emissions management strategy is material. Supplemental exploratory analyses reveal that our results are mediated by investors' perception that an operational change strategy is more socially and environmentally responsible than an offsets strategy for below industry average firms. Implications for our findings on theory and practice are discussed."
3,The Influence of Corporate Social Responsibility Measures on Investors' Judgments When Integrated in a Financial Report Versus Presented in a Separate Report,"Anthony C. Bucaro, Kevin E. Jackson, Jeremy B. Lill",https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12542,"This study examines the effect on investors' judgments of corporate social responsibility (CSR) measures when integrated with financial information in a single report versus when presented in a separate CSR report. Advocates for integrated reports argue that CSR information will be perceived as more relevant and have a greater impact on users when observed in an integrated report. However, we provide experimental evidence that CSR measures have greater influence on investors' judgments when investors observe the CSR information and financial information depicted in separate reports. We also provide evidence that this greater influence of CSR measures is caused by investors' evaluations taking on a “multidimensional perspective” that includes both a social responsibility and a financial dimension, which is triggered by observing the separate CSR report. Activating a social responsibility dimension elevates the perceived relevance of CSR measures, increasing their influence on investors' judgments. Our study contributes to practice by highlighting a potential unintended consequence of issuing integrated versus separate CSR reports: that investors incorporate CSR information less when it is integrated with financial information versus separately reported."
4,Improving Auditors' Consideration of Evidence Contradicting Management's Estimate Assumptions†,"Ashley A. Austin, Jacqueline S. Hammersley, Michael A. Ricci",https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12540,"Auditors have difficulty evaluating the assumptions underlying management's estimates. One source of these problems is that auditors appear to dismiss evidence contradicting management's assumptions because their initial preference to support management's accounting biases their preliminary conclusions and, thus, their interpretation of evidence. We experimentally examine whether auditors with a balanced focus (i.e., a focus on documenting evidence that supports and contradicts their preliminary conclusion) are less likely to dismiss evidence that contradicts management's assumptions than auditors with a supporting focus (i.e., a focus on documenting evidence that supports their preliminary conclusion). We expect and find that, compared with auditors with a supporting focus, auditors with a balanced focus create documentation that is less dismissive of evidence contradicting management's estimate. Importantly, a balanced focus changes auditors' cognition and affects how auditors interpret contradicting evidence rather than merely increasing their documentation of this evidence. The effects of reduced dismissiveness persist to improve auditors' evaluations of a biased estimate and subsequent actions, improving audit quality in an important and difficult area."
5,Can Audit Committee Expertise Increase External Auditors' Litigation Risk? The Moderating Effect of Audit Committee Independence,"Jillian Alderman, S. Jane Jollineau",https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12549,"This study examines whether the perceived independence and financial expertise of audit committee members affect external auditors' exposure to legal liability. We use an experiment in which potential jurors make judgments about auditor independence and legal liability for a case involving an audit failure. We find that perceptions of audit committee independence from management are positively associated with judgments of auditor independence and negatively associated with auditor liability. However, financial expertise of audit committee members can be a double‐edged sword. Our experiment finds that judgments of auditor liability are higher when the audit committee is perceived to have higher financial expertise but lower independence from management. In assessing litigation risk of current and prospective clients, auditors may want to carefully consider the independence of audit committee members from management, particularly when audit committee members have financial expertise. In the event of an audit failure, the financial expertise of nonindependent audit committee members can negatively affect jurors' perceptions of auditor independence and liability."
6,Are Earnings Forecasts Informed by Proxy Statement Compensation Disclosures?†,"Stephannie A. Larocque, Melissa A. Martin, Beverly R. Walther",https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12559,"We investigate the extent to which market participants use compensation payouts released in the DEF 14A proxy statement (DEF14A) to assess future firm performance by examining sell‐side analysts' earnings forecasts. Consistent with prior work, we confirm that CEO compensation unexplained by current observable economic factors is positively associated with future firm performance. We find that both the likelihood that analysts revise their forecasts following release of the DEF14A and the magnitude and direction of analysts' forecast revisions are positively associated with unexplained CEO compensation. These associations are stronger after the SEC required additional compensation‐related disclosures in late 2006 but lower if the firm has weak corporate governance or more precise other information. Analysts' reactions are not complete, however. Analysts' forecast errors measured months after the DEF14A release are associated with past unexplained compensation, especially in the pre‐2006 period and for analysts who do not revise at the DEF14A release. Taken together, our results suggest that compensation payouts released in the DEF14A contain useful forward‐looking information that is recognized by at least some sophisticated market participants and that the increased disclosure regulations assisted market participants in incorporating this information."
7,Bold Stock Recommendations: Informative or Worthless?†,"Dan Palmon, Bharat Sarath, Hua C. Xin",https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12555,"We select a small set of recommendations that lie in the upper and lower tail of the empirical distribution of divergences between a recommendation, and the consensus over the window (−30, −1) days prior to that recommendation. We classify these extremely divergent recommendations as bold, and then subdivide them into informative bold recommendations that lead other analysts (leading‐bold) and those that are ignored by other analysts (contra‐bold) based on the consensus change in the 30 days after the announcement. We focus on the information conveyed to the market by these bold, leading‐bold, and contra‐bold recommendations through their effects on cumulative abnormal returns (CAR). We find that bold recommendations are not anticipated by market participants (CARs are negative before a bold buy and positive before a bold sell). The next finding is that the market responds strongly to both leading and contra‐bold recommendations over the (0, +4)‐day window and that these reactions are stronger than that to nonbold recommendations. In contrast, over the longer (0, +30)‐day window, leading‐bold recommendations earn additional returns whereas contra‐bold ones reverse significantly due to lack of confirmation. The overall pattern is one of rational market reaction both in the short and long windows. We support the rationality of the market reaction by showing that the percentage of leading‐bold recommendations exceeds that of contra‐bold recommendations, and that these two types of recommendations cannot be separated using observable analyst characteristics such as experience or brokerage size."
8,Short Sellers and Long‐Run Management Forecasts,"Xia Chen, Qiang Cheng, Ting Luo, Heng Yue",https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12554,"We examine how short sellers affect long‐run management forecasts using a natural experiment (Regulation SHO) that relaxes short‐selling constraints on a group of randomly selected firms (referred to as pilot firms). We find that compared to other firms, the pilot firms issue more long‐run good news forecasts but do not change the frequency of long‐run bad news forecasts. The increase in good news forecasts is greater when the pilot firms have higher‐quality forecasts, greater uncertainty about firm value, or higher manager equity incentives. Overall, these results and the results of additional analyses indicate that the reduction in short‐selling constraints and the increase in short‐selling threat induce managers to enhance disclosures through more long‐run good news forecasts to discourage short sellers."
9,Voluntary Disclosures when There Is an Option to Delay Disclosure,Rahul Menon,https://onlinelibrary.wiley.com/doi/10.1111/1911-3846.12529,"What incentives drive managers to disclose immediately when they have an option to delay disclosures? I examine this question in a two‐period setting in which public news that is positively correlated with firm value arrives periodically. I show that, when the manager's likelihood of receiving information is independent of the public news, an informed manager is more likely to disclose immediately when the public news is good. This happens even as the disclosure threshold itself increases in the public news. My model provides a potential explanation for why managers have a higher propensity to provide earnings forecasts when current earnings are high. I also show that, even when disclosures are credible, the average price reaction to a voluntary disclosure is (i) decreasing in the magnitude of the public news and (ii) lower when the manager is more myopic. These results have potential implications for studies that use stock returns to measure the news contained in management disclosures."
