,title,author,link,abstract
0,Estimation of graphical models using the  norm,"Khai Xiang Chiong, Hyungsik Roger Moon",https://onlinelibrary.wiley.com/doi/10.1111/ectj.12104,"Gaussian graphical models are recently used in economics to obtain networks of dependence among agents. A widely used estimator is the graphical least absolute shrinkage and selection operator (GLASSO), which amounts to a maximum likelihood estimation regularized using the  matrix norm on the precision matrix Ω. The  norm is a LASSO penalty that controls for sparsity, or the number of zeros in Ω. We propose a new estimator called structured GLASSO (SGLASSO) that uses the  mixed norm. The use of the  penalty controls for the structure of the sparsity in Ω. We show that when the network size is fixed, SGLASSO is asymptotically equivalent to an infeasible GLASSO problem which prioritizes the sparsity‐recovery of high‐degree nodes. Monte Carlo simulation shows that SGLASSO outperforms GLASSO in terms of estimating the overall precision matrix and in terms of estimating the structure of the graphical model. In an empirical illustration using a classic firms' investment data set, we obtain a network of firms' dependence that exhibits the core–periphery structure, with General Motors, General Electric and US Steel forming the core group of firms."
1,CCE in panels with general unknown factors,Joakim Westerlund,https://onlinelibrary.wiley.com/doi/10.1111/ectj.12110,"A popular approach to factor‐augmented panel regressions is the common correlated effects (CCE) estimator of Pesaran (2006). In fact, the approach is so popular that it has given rise to a separate CCE literature. A common assumption in this literature is that the common factors are stationary, which would seem to rule out many empirically relevant cases. Moreover, deterministic factors are typically treated as known, which raises the issue of model misspecification. In the current paper, we show how the conditions placed on the factors in CCE can be made much more general than was previously thought possible. In fact, save for some mild regulatory moment conditions, the factors are essentially unrestricted. One implication of this result is that there is no need to discriminate between deterministic and stochastic factors, but that one can instead treat them all as unknown. This is very convenient for practitioners, because it means that under certain conditions they are spared the problem of having to decide which deterministic terms to include in the model."
2,Robust tests for deterministic seasonality and seasonal mean shifts,"S. Astill, A. M. R. Taylor",https://onlinelibrary.wiley.com/doi/10.1111/ectj.12111,"We develop tests for the presence of deterministic seasonal behaviour and seasonal mean shifts in a seasonally observed univariate time series. These tests are designed to be asymptotically robust to the order of integration of the series at both the zero and seasonal frequencies. Motivated by the approach of Hylleberg, Engle, Granger and Yoo, we base our approach on linear filters of the data that remove any potential unit roots at the frequencies not associated with the deterministic component(s) under test. Test statistics are constructed using the filtered data such that they have well defined limiting null distributions regardless of whether the data are either integrated or stationary at the frequency associated with the deterministic component(s) under test. In the same manner as Vogelsang, Bunzel and Vogelsang and Sayginsoy and Vogelsang, we scale these statistics by a function of an auxiliary seasonal unit root statistic. This allows us to construct tests that are asymptotically robust to the order of integration of the data at both the zero and seasonal frequencies. Monte Carlo evidence suggests that our proposed tests have good finite sample size and power properties. An empirical application to UK gross domestic product indicates the presence of seasonal mean shifts in the data."
3,Non‐parametric Bayesian inference of strategies in repeated games,"Max Kleiman‐Weiner, Joshua B. Tenenbaum, Penghui Zhou",https://onlinelibrary.wiley.com/doi/10.1111/ectj.12112,"Inferring underlying cooperative and competitive strategies from human behaviour in repeated games is important for accurately characterizing human behaviour and understanding how people reason strategically. Finite automata, a bounded model of computation, have been extensively used to compactly represent strategies for these games and are a standard tool in game theoretic analyses. However, inference over these strategies in repeated games is challenging since the number of possible strategies grows exponentially with the number of repetitions yet behavioural data are often sparse and noisy. As a result, previous approaches start by specifying a finite hypothesis space of automata that does not allow for flexibility. This limitation hinders the discovery of novel strategies that may be used by humans but are not anticipated a priori by current theory. Here we present a new probabilistic model for strategy inference in repeated games by exploiting non‐parametric Bayesian modelling. With simulated data, we show that the model is effective at inferring the true strategy rapidly and from limited data, which leads to accurate predictions of future behaviour. When applied to experimental data of human behaviour in a repeated prisoner's dilemma, we uncover strategies of varying complexity and diversity."
4,Beyond plausibly exogenous,"Hans van Kippersluis, Cornelius A. Rietveld",https://onlinelibrary.wiley.com/doi/10.1111/ectj.12113,"We synthesize two recent advances in the literature on instrumental variable (IV) estimation that test and relax the exclusion restriction. Our approach first estimates the direct effect of the IV on the outcome in a subsample for which the IV does not affect the treatment variable. Subsequently, this estimate for the direct effect is used as input for the plausibly exogenous method developed by Conley, Hansen and Rossi. This two‐step procedure provides a novel and informed sensitivity analysis for IV estimation. We illustrate the practical use by estimating the causal effect of (a) attending Catholic high school on schooling outcomes and (b) the number of children on female labour supply."
5,Identification of treatment effects with selective participation in a randomized trial,"Brendan Kline, Elie Tamer",https://onlinelibrary.wiley.com/doi/10.1111/ectj.12114,"Randomized trials (RTs) are used to learn about treatment effects. This paper studies identification of average treatment response (ATR) and average treatment effect (ATE) from RT data under various assumptions. The focus is the problem of external validity of the RT. RT data need not point identify the ATR or ATE because of selective participation in the RT. The paper reports partial‐identification and point‐identification results for the ATR and ATE based on RT data under a variety of assumptions. The results include assumptions sufficient to point identify the ATR or ATE from RT data. Under weaker assumptions, the ATR or ATE is partially identified. Further, attention is given to identification of the sign of the ATE and identification of whether participation in the RT is selective. Finally, identification from RT data is compared to identification from observational data."
6,Index to The Econometrics Journal Volume 21,no author,https://onlinelibrary.wiley.com/doi/10.1111/ectj.12119,no abstract
7,Adaptive wild bootstrap tests for a unit root with non‐stationary volatility,"H. Peter Boswijk, Yang Zu",https://onlinelibrary.wiley.com/doi/10.1111/ectj.12100,"Recent research has emphasized that permanent changes in the innovation variance (caused by structural shifts or an integrated volatility process) lead to size distortions in conventional unit root tests. It has been shown how these size distortions can be resolved using the wild bootstrap. In this paper, we first derive the asymptotic power envelope for the unit root testing problem when the non‐stationary volatility process is known. Next, we show that under suitable conditions, adaptation with respect to the volatility process is possible, in the sense that non‐parametric estimation of the volatility process leads to the same asymptotic power envelope. Implementation of the resulting test involves cross‐validation and the wild bootstrap. A Monte Carlo experiment shows that the asymptotic results are reflected in finite sample properties, and an empirical analysis of real exchange rates illustrates the applicability of the proposed procedures."
8,The wild bootstrap for few (treated) clusters,"James G. MacKinnon, Matthew D. Webb",https://onlinelibrary.wiley.com/doi/10.1111/ectj.12107,"Inference based on cluster‐robust standard errors in linear regression models, using either the Student's t‐distribution or the wild cluster bootstrap, is known to fail when the number of treated clusters is very small. We propose a family of new procedures called the subcluster wild bootstrap, which includes the ordinary wild bootstrap as a limiting case. In the case of pure treatment models, where all observations within clusters are either treated or not, the latter procedure can work remarkably well. The key requirement is that all cluster sizes, regardless of treatment, should be similar. Unfortunately, the analogue of this requirement is not likely to hold for difference‐in‐differences regressions. Our theoretical results are supported by extensive simulations and an empirical example."
9,"Non‐parametric inference on (conditional) quantile differences and interquantile ranges, using L‐statistics","Matt Goldman, David M. Kaplan",https://onlinelibrary.wiley.com/doi/10.1111/ectj.12095,"We provide novel, high‐order accurate methods for non‐parametric inference on quantile differences between two populations in both unconditional and conditional settings. These quantile differences correspond to (conditional) quantile treatment effects under (conditional) independence of a binary treatment and potential outcomes. Our methods use the probability integral transform and a Dirichlet (rather than Gaussian) reference distribution to pick appropriate L‐statistics as confidence interval endpoints, achieving high‐order accuracy. Using a similar approach, we also propose confidence intervals/sets for vectors of quantiles, interquantile ranges and differences of linear combinations of quantiles. In the conditional setting, when smoothing over continuous covariates, optimal bandwidth and coverage probability rates are derived for all methods. Simulations show that the new confidence intervals have a favourable combination of robust accuracy and short length compared with existing approaches. Detailed steps for confidence interval construction are provided in online Appendix E as supporting information, and code for all methods, simulations and empirical examples is provided."
