,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/fire.12208,no abstract
1,Term structure determinants of time‐varying risk of 1‐year bond returns,Revansiddha Basavaraj Khanapure,https://onlinelibrary.wiley.com/doi/10.1111/fire.12222,"Term structure drivers of 1‐year bond premia and conditional bond return risk are distinct. Consequently, the Cochrane–Piazzesi factor captures aggregate price of risk and not the amount of risk in 1‐year bond returns. One linear combination of forward rates captures most of the variation in bond return risk across maturities. Interest rate level captures substantial amount of variation in the conditional return risk, a finding consistent with rising inflation uncertainty with level of inflation and interest rates. The 4‐5 yield spread, an important positive predictor of bond return premia, has an opposing but limited impact on the conditional volatility."
2,Trade signing in fast markets,"Allen Carrion, Madhuparna Kolay",https://onlinelibrary.wiley.com/doi/10.1111/fire.12218,"This study assesses the accuracy of trade signing algorithms in fast trading environments using NASDAQ and NYSE trade and quote data. Using data that contain true trade signs, we show that the Lee and Ready algorithm outperforms the tick rule and classifies trades at least as well as in earlier studies from slower trading environments, even in subsamples where the market is particularly fast. We conclude that trade signing remains viable in fast markets, and that the use of quote data continues to increase trade classification accuracy."
3,Capturing hedge fund risk factor exposures: Hedge fund return replication with ETFs,"Jun Duanmu, Yongjia Li, Alexey Malakhov",https://onlinelibrary.wiley.com/doi/10.1111/fire.12221,"We develop a new factor selection methodology of spanning the space of hedge fund risk factors with all available exchange traded funds (ETFs). We demonstrate the efficacy of the methodology with out‐of‐sample individual hedge fund return replication by ETF clone portfolios. This is consistent with our interpretation of ETF returns as proxies to risk factors driving hedge fund returns. We further consider portfolios of “cloneable” and “noncloneable” hedge funds, defined as top and bottom in‐sample R2 matches, and demonstrate that our ETF clone portfolios slightly outperform cloneable hedge funds out of sample."
4,Religion and venture investing: A cross‐country analysis,"Min Maung, Zhenyang Tang, Xiaowei Xu",https://onlinelibrary.wiley.com/doi/10.1111/fire.12233,"Using a sample of 56 countries over the 2000–2016 period, we document lower levels of venture capital investments in more religious countries. These results are not specific to any primary religion. Furthermore, we show that the negative relation between religiosity and venture investing mainly stems from risk aversion inherent in religiosity. Our results are unlikely driven by economic clout, as we show more religious countries in fact have higher levels of domestic credit or nonfinancial investments, despite lower levels of venture investments. We also present several findings consistent with risk aversion. Venture investments in more religious countries are more likely to have successful exits and are less likely to be foreign or early‐stage deals. Our results are robust to different measures of venture investments and religiosity, and to alternative specifications that account for endogeneity."
5,Stock market anomalies and baseball cards,"Joseph Engelberg, Linh Thompson, Jared Williams",https://onlinelibrary.wiley.com/doi/10.1111/fire.12223,"Baseball cards exhibit anomalies that are analogous to those that are documented in financial markets, namely, momentum, price drift in the direction of past fundamental performance, and initial public offering (IPO) underperformance. Momentum is higher among active players than retired players, and among newer sets than older sets. Regarding IPO underperformance, we find that newly issued rookie cards underperform newly issued cards of veteran players, and that newly issued sets underperform older sets. The results are broadly consistent with models of slow information diffusion and short‐selling constraints."
6,Commonality in liquidity and multilateral trading facilities,"Pankaj K. Jain, Mohamed Mekhaimer, Sandra Mortal",https://onlinelibrary.wiley.com/doi/10.1111/fire.12225,"We use the introduction of two multilateral trading facilities (MTFs) to examine the impact of market fragmentation on commonality in liquidity. We find that the introduction of MTFs following the Markets in Financial Instruments Directive increases the comovement of stocks’ liquidity with MTF liquidity, while the comovement with the home market liquidity generally decreases. We also find that the higher the MTF trading volume or the number of MTFs trading a stock, the stronger the effect. Further, we find that the commonality in liquidity remains unchanged for a matched control sample of stocks that do not trade on MTFs."
7,"Time‐varying risk of rare disasters, investment, and asset pricing","Bo Liu, Yingjie Niu, Jinqiang Yang, Zhentao Zou",https://onlinelibrary.wiley.com/doi/10.1111/fire.12226,"We extend an equilibrium business cycle/asset pricing model of production and capital accumulation by introducing a time‐varying risk of rare disasters. It predicts that investment is much more volatile than output, which provides theoretical support for the empirical data. Furthermore, the model‐generated stationary distribution of the investment‐output ratio fits the data remarkably well. Both of them exhibit negative skewness, which means that there is a small probability that this ratio can be very low. Given the observations of the investment‐output ratio, we obtain the values of the jump intensity implicit in the historical data and find those recession periods coincide with a rapid increase in the probability of a disaster. Finally, the model shows that the existence of adjustment costs generates a procyclical price of capital and contributes to resolving the equity premium puzzle."
8,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/fire.12207,no abstract
9,Wealth transfer through private placements: Evidence from China,"Jing Lin, Steven X. Zheng, Mingshan Zhou",https://onlinelibrary.wiley.com/doi/10.1111/fire.12215,"We examine private issuance of public equity (PIPE) in China, and our results suggest that PIPE investors benefit from the price manipulation before and after issuance. These investors tend to cash out after lockup expiration and make large profits. We also find evidence that the trading of PIPE investors after lockup expiration is informed. Tests about the abnormal returns in the 3 years after lockup expiration suggest that at least part of the benefits PIPE investors receive come from wealth transfer from outside investors. Overall, PIPE issuers in China seem to use an opaque mechanism to compensate PIPE investors."
