,title,author,link,abstract
0,ISSUE INFORMATION ‐ JIP,no author,https://onlinelibrary.wiley.com/doi/10.1111/iere.12413,no abstract
1,STATE DEPENDENCE IN LABOR MARKET FLUCTUATIONS,"Carlo Pizzinelli, Konstantinos Theodoridis, Francesco Zanetti",https://onlinelibrary.wiley.com/doi/10.1111/iere.12448,"This article documents state dependence in labor market fluctuations. Using a Threshold Vector Autoregression (TVAR) model, we establish that the unemployment rate, the job separation rate, and the job‐finding rate (JFR) exhibit a larger response to productivity shocks during periods with low aggregate productivity. A Diamond–Mortensen–Pissarides model with endogenous job separation and on‐the‐job search replicates these empirical regularities well. We calibrate the model to match the standard deviation of the job‐transition rates explained by productivity shocks in the TVAR, and show that the model explains 88% of the state dependence in the unemployment rate, 76% for the separation rate and 36% for the JFR. The key channel underpinning state dependence in both job separation and JFRs is the interaction of the firm's reservation productivity level and the distribution of match‐specific idiosyncratic productivity. Results are robust across several variations to the baseline model."
2,REDISTRIBUTION AND FISCAL UNCERTAINTY SHOCKS,Hikaru Saijo,https://onlinelibrary.wiley.com/doi/10.1111/iere.12449,"This article studies the impact of fiscal uncertainty shocks. In micro data, noncapital holders reduce consumption persistently in response to an increase in fiscal uncertainty whereas capital holders do not. Motivated by this evidence, I introduce limited capital market participation and show that it magnifies the fall in economic activity due to a fiscal uncertainty shock and induces macroeconomic comovement. This is because the limited participation model captures individual uncertainty about redistribution. When agents are ambiguity averse, this uncertainty about redistribution has first‐order effects. As a result, the model successfully matches the empirical responses of macro and household variables."
3,THE PROPAGATION OF UNCERTAINTY SHOCKS: ROTEMBERG VERSUS CALVO,Joonseok Oh,https://onlinelibrary.wiley.com/doi/10.1111/iere.12450,"This article studies the effects of uncertainty shocks on economic activity, focusing on inflation. Using a vector autoregression, I show that increased uncertainty has negative demand effects, reducing GDP and prices. I then consider standard New Keynesian models with Rotemberg‐type and Calvo‐type price rigidities. Despite the belief that the two schemes are equivalent, I show that they generate different dynamics in response to uncertainty shocks. In the Rotemberg model, uncertainty shocks decrease output and inflation, in line with the empirical results. By contrast, in the Calvo model, uncertainty shocks decrease output but raise inflation because of firms' precautionary pricing motive."
4,EXISTENCE OF STATIONARY EQUILIBRIUM IN AN INCOMPLETE‐MARKET MODEL WITH ENDOGENOUS LABOR SUPPLY,Shenghao Zhu,https://onlinelibrary.wiley.com/doi/10.1111/iere.12451,"In this article, I first study an income fluctuation problem with endogenous labor supply. Let β be the agent's time discount factor and  be the constant gross rate of return on assets. For , I show that the agent's wealth either approaches infinity almost surely or converges to a finite level almost surely. For , I prove the existence, uniqueness, and stability of the stationary distribution of state variables. I then show the existence of the stationary general equilibrium in an incomplete‐market model with endogenous labor supply."
5,DECENTRALIZED ONE‐TO‐MANY BARGAINING,"Chiu Yu Ko, Duozhe Li",https://onlinelibrary.wiley.com/doi/10.1111/iere.12452,"We study a one‐to‐many bargaining model in which one active player bargains with every passive player on how to share the surplus of a joint project. The order of bargaining is not fixed and the active player decides whom to bargain with in each period. Our model admits a rich set of equilibria and we identify the upper and lower bounds of equilibrium payoffs. We also examine whether two natural ordering protocols often assumed in existing studies can sustain endogenously. Although the queuing protocol may indeed arise in an equilibrium, the rotating protocol is in general not self‐enforcing."
6,EXTREMIST PLATFORMS: POLITICAL CONSEQUENCES OF PROFIT‐SEEKING MEDIA,"Siddhartha Bandyopadhyay, Kalyan Chatterjee, Jaideep Roy",https://onlinelibrary.wiley.com/doi/10.1111/iere.12453,"We analyze how information about candidate quality affects the choice of electoral platforms made by an office‐motivated political challenger. The incumbent is of known quality and located at the ideal policy of the voter. The voter cares for both policy and the candidates' quality and can learn about the challenger's quality by buying information. A high‐quality challenger then has an incentive to signal her quality by choosing a policy that induces the voter to buy information. We first study the benchmark case in which the information is supplied exogenously, and its quality is independent of the challenger's platform; this yields multiple equilibria and indeterminacy of equilibrium platforms. By contrast, when the information is supplied by a profit‐maximizing media outlet, its quality depends on the challenger's platform and we obtain a unique equilibrium platform. In particular, when the incumbent's quality is relatively low, the media coverage rises and the challenger's platform diverges further from the voter's ideal policy as the voter's preference for quality increases."
7,ENDOGENOUS SOURCES OF VOLATILITY IN HOUSING MARKETS: THE JOINT BUYER–SELLER PROBLEM,"Elliot Anenberg, Patrick Bayer",https://onlinelibrary.wiley.com/doi/10.1111/iere.12454,"This article presents new empirical evidence that internal movement—selling one home and buying another—by existing homeowners within a metropolitan housing market is especially volatile and a substantial driver of fluctuations in transaction volume over the housing market cycle. We develop a search model that shows that the strong procyclicality of internal movement is driven by the cost of simultaneously holding two homes, which varies endogenously over the cycle. The estimated model shows that frictions related to this joint buyer–seller problem substantially amplify cyclical price volatility in housing markets."
8,"DISCOUNT SHOCK, PRICE–RENT DYNAMICS, AND THE BUSINESS CYCLE","Jianjun Miao, Pengfei Wang, Tao Zha",https://onlinelibrary.wiley.com/doi/10.1111/iere.12455,"The price‐rent ratio in commercial real estate is highly volatile and its variation comoves with the business cycle. To account for these facts, we develop a dynamic general equilibrium model that introduces a rental market and incorporates the liquidity constraint on an individual firm's production as a key ingredient. Our estimation identifies the discount shock as the most important factor in driving price‐rent dynamics and linking the dynamics in the real estate market to those in the real economy. We illustrate the importance of the liquidity premium and endogenous TFP in the nexus of the financial and real sectors."
9,THE HIDDEN COST OF BARGAINING: EVIDENCE FROM A CHEATING‐PRONE MARKETPLACE,"Haimanti Bhattacharya, Subhasish Dugar",https://onlinelibrary.wiley.com/doi/10.1111/iere.12456,It is widely believed that successful bargaining helps consumers increase their surplus. We present evidence from a field experiment showing that bargaining over price reduces buyer surplus in a marketplace where sellers cheat on the weight whose value may more than offset the price discount. Our results show that bargaining entails hidden costs since sellers cheat significantly more when buyers bargain than not and they cheat significantly more when bargaining succeeds than fails. Overall bargaining reduces buyer surplus than not bargaining. Our result is relevant for credence goods markets where bargaining over prices may induce sellers to “undertreat” more.
