,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/ijau.12199,No abstract is available for this article.
1,Editorial by Dr Ilias Basioudis: Letter to the UK parliament on the future of audit,Ilias G. Basioudis,https://onlinelibrary.wiley.com/doi/10.1111/ijau.12180,no abstract
2,"Economic bonding, corporate governance and earnings management: Evidence from UK publicly traded family firms","Jihad Al‐Okaily, Nourhene BenYoussef, Salim Chahine",https://onlinelibrary.wiley.com/doi/10.1111/ijau.12186,"This study examines whether auditor–client economic bonding and corporate governance moderate the adverse effects of principal–principal agency problems on earnings quality in U.K.‐listed family firms. We find that although earnings management is lower in family firms, there is a higher tendency of earnings management for those firms with economic bonding. However, such an impact may be moderated by good governance mechanisms where the latter may alleviate the adverse effects of the lack of auditor independence on the association between earnings management and family firms."
3,Political alignment and audit pricing,"Cameron Truong, Mukesh Garg, Christofer Adrian, Anh Viet Pham, Philip Shane",https://onlinelibrary.wiley.com/doi/10.1111/ijau.12189,"This article investigates the impact of political alignment on the pricing of audit service for U.S. firms. While prior studies have mainly focused on the political connectedness stemming from firms' active political effort, our study is different as we exploit changes in the U.S. political landscape, which are exogenous to firms. We employ a political alignment index (PAI) of each state's leading politicians with the presidential party to proxy for U.S. domestic firms' political alignment. We build upon the policy risk theory, and conjecture that auditors take into account the risk emanating from firms' political geography position and price this risk in their audit service fees. Our empirical results show a positive association between PAI and audit fees. Collectively, our findings suggest that auditors perceive firms whose headquarters are located in more politically aligned states to be riskier, while corporate diversification and managerial ability act as effective mitigating factors."
4,Do key audit matters impact financial reporting behavior?,"Anna Gold, Melina Heilmann, Christiane Pott, Johanna Rematzki",https://onlinelibrary.wiley.com/doi/10.1111/ijau.12190,"This study experimentally examines whether the implementation of key audit matters (KAMs) in auditors' reports affects managers' reporting behavior. In line with prior research in psychology, we argue that greater transparency through KAMs leads to higher accountability pressure as managers may expect their judgments to be scrutinized more strongly in the presence of KAMs and, hence, to an improvement of financial reporting quality. Further, we examine whether informational precision (firm‐specific versus nonfirm‐specific information) in a KAM section moderates the effect of KAM presence on reporting behavior. Our findings show that managers' tendency to make an aggressive financial reporting decision is reduced in the presence of KAMs (compared to the absence of KAMs). This effect remains even when the description of the KAM is of low informational precision. Thus, our results suggest that KAMs serve as a beneficial mechanism for enhancing financial reporting quality by attenuating aggressive financial reporting behavior, regardless of the precision employed by auditors."
5,Group audits and earnings informativeness,"Johannes Impink, Alexey Lyubimov, Ashna Prasad",https://onlinelibrary.wiley.com/doi/10.1111/ijau.12191,"The Public Company Accounting Oversight Board (PCAOB) has cited investors as the main stakeholder group requesting greater disclosure about the involvement of auditors other than the group auditor. This study investigates the following: 1) whether (any) differences in investor perceived earnings quality of group audits are associated with the component auditor belonging to the same network as the group auditor and; 2) whether this association is affected by the location of the client. We find that earnings informativeness is lower for group audits conducted by audit firms related by a global network. However, this finding is pertinent only to non‐US‐domiciled companies. We also find that since the escalation of PCAOB scrutiny, the earnings informativeness of non‐U.S. companies has increased."
6,Applying a new audit regulation: Reporting Key Audit Matters in Jordan,"Modar Abdullatif, Ayat S. Al‐Rahahleh",https://onlinelibrary.wiley.com/doi/10.1111/ijau.12192,"This study aims to explore the application of a new audit regulation, International Standard on Auditing no. 701 (ISA 701) on Key Audit Matters (KAMs), in the developing country context of Jordan. To do so, the researchers analyzed the content of audit reports issued in Jordan in 2017 and 2018, and conducted interviews with 18 Jordanian audit partners and directors involved in KAM reporting. Findings of this study show that the number of KAMs reported in Jordan is relatively small, and that they emphasize items such as accounts receivable, inventory, investment property, and revenue. They also show that audit firms generally disagree on the nature and content of KAMs, overwhelmingly tend to report industry‐specific KAMs rather than entity‐specific KAMs, and avoid reporting KAMs related to governance or internal controls. Justifications by interviewees include ambiguity of ISA 701 and discretion in its application, fear of displeasing closely held clients who do not demand high‐quality audits, and limited interest by regulatory authorities in the detailed content of KAMs."
7,The auditor reputation cycle: A synthesis of the literature,"Jason Bergner, Blair B. Marquardt, Partha Mohapatra",https://onlinelibrary.wiley.com/doi/10.1111/ijau.12193,"The auditor reputation hypothesis states that auditors conduct high‐quality audits to build a positive reputation in the marketplace so that they can retain clients and earn fee premiums. We consolidate the dispersed literature on this hypothesis and introduce a framework that presents auditor reputation as a cycle. The overall conclusions support the predictions of our framework regarding reputation as an incentive for audit quality. However, challenges remain in isolating and quantifying the impact. We observe moderating factors on both the supply and demand sides. We also find that existing research has emphasized certain aspects of our framework while addressing others more sparsely. Relatively little is known about how audit firms earn their reputation or how they rebuild it after an audit failure. Mixed evidence in some areas, along with research gaps in the framework, provides opportunities for future research on auditor reputation. Our framework can guide these endeavors."
8,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/ijau.12188,No abstract is available for this article.
9,Editorial: How to review an article for a research journal—And what to expect as an author,David Hay,https://onlinelibrary.wiley.com/doi/10.1111/ijau.12172,"ACKNOWLEDGEMENTS
An earlier version of this paper was presented at the Meditari Accountancy Research PhD Colloquium, Kwa Maritane, June 2016. I appreciate helpful comments from Charl de Villiers and Lee Parker."
