,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12423,no abstract
1,Have SFAS 166 and SFAS 167 improved the financial reporting for securitizations?,"Minkwan Ahn, Samuel B. Bonsall IV, Zahn Bozanic, Yiwei Dou, Gordon Richardson, Dushyantkumar Vyas",https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12449,"Critics have alleged that securitization accounting prior to 2010 was among the causes of the recent financial crisis. In response to this criticism, the Financial Accounting Standards Board (FASB) implemented two new accounting standards, SFAS 166 and SFAS 167, to improve the financial reporting for securitizations. Bank regulators have stated their belief that SFAS 166/167 will result in a consolidated balance sheet (and risk‐based capital ratios based thereupon) that better reflects a bank's exposure to risk related to securitized assets. We document that, by ceding retained power or influence through the servicing/special servicing functions to third parties, SFAS 166/167 resulted in real effects to the extent that banks (particularly those that were weakly capitalized) achieved their accounting objectives in the post‐SFAS 166/167 period through legitimate transaction structuring in line with the intent of the new rules. Further, we use capital market participants’ assessments of risk retention by sponsoring banks as a benchmark, and provide evidence consistent with bank regulators’ beliefs. In particular, following SFAS 166/167, equity investors of sponsoring banks do not consider (consider) as risk relevant securitized assets that receive off‐balance sheet (on‐balance sheet) treatment. Securitized assets that are consolidated under SFAS 166/167 exhibit the same risk relevance as assets that are not securitized, despite contractual provisions that would seem to imply substantial risk transfer."
2,"Taxable income, future profitability, and stock returns","Bradley Blaylock, Bradley P. Lawson, Michael A. Mayberry",https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12448,"Prior research suggests that investors behave ‘as if’ taxable income contains information about future performance by providing evidence of a positive association between taxable income and stock returns. We draw on the fundamental analysis literature and provide direct evidence on this assertion by examining whether taxable income predicts future pretax performance. We find that taxable income positively predicts future pretax cash flows, pretax book income, and ‘Street’ pretax earnings, suggesting that taxable income provides incremental information to book income regarding performance. Moreover, we find a positive association between taxable income and analysts’ pretax forecasts, consistent with analysts utilizing the information in taxable income when forming earnings expectations. We do not find an association between taxable income and future analyst forecast errors, implying analysts do not overreact or underreact to taxable income's performance signal. Overall, we find that taxable income provides a signal of fundamental value and corroborate the implications of prior research."
3,A re‐examination of accruals quality following restatements,"Marie Herly, Jan Bartholdy, Frank Thinggaard",https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12445,"Empirical research from the first years following the Sarbanes‐Oxley Act (SOX) in the US suggests that firms improve accruals quality following restatements, but the materiality of restatements has declined since then. This decline may affect firms' responses to restatements, and hence we re‐examine whether restatements are associated with subsequent improvements in accruals quality in a more recent sample. We compare the changes in accruals quality of firms restating between 2000 and 2014 with that of a control group. We do not find that firms improve accruals quality more than the control group following a restatement, even when we isolate the types of restatements considered to be most material. However, we do find that restatements followed by the most negative stock market reactions are associated with a relative increase in accruals quality, indicating that only restatements deemed very severe by investors lead to subsequent improvements in accruals quality. Our results suggest that firms' responses to restatements have changed concurrently with the trend of fewer and less material restatements in recent years."
4,Does religiosity enhance the quality of management earnings forecasts?,"Lamia Chourou, Luo He, Ligang Zhong",https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12446,"This study investigates whether firms located in areas with higher levels of religiosity disclose higher‐quality management earnings forecasts than do other firms. Using a US sample of 4,655 firm‐year observations over the period 2001 to 2014, we find that firms headquartered in counties with higher proportions of religious adherents issue earnings forecasts that are less optimistically biased and that the effect of religiosity is concentrated in firms with weak monitoring mechanisms. We also find that religiosity mitigates pessimistic bias in management earnings forecasts, but only for those issued by firms operating in low litigation industries. This result suggests that when the litigation risk is high, both ethicality and risk aversion are at work and their competing effects likely offset each other. Additionally, we document that forecasts issued by firms in more religious areas trigger stronger stock price reactions than those issued by other firms and that the effect is limited to forecasts containing optimistic bias. Overall, our results show that religiosity enhances the quality of management earnings forecasts, but the effect varies based on different conditions."
5,Underlying risk preferences and analyst risk‐taking behavior,"Sean Cleary, Jonathan Jona, Gladys Lee, Joshua Shemesh",https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12441,"We investigate the relationship between underlying risk preferences on analysts’ work‐related decisions. Specifically, we examine whether facial width‐to‐height ratio (fWHR), an innate personal characteristic that has been linked to financial risk tolerance, is associated with analysts’ stock coverage decisions and the boldness of their earnings forecasts and stock recommendations. We find that high‐fWHR analysts cover firms with lower earnings predictability, and issue bolder forecasts and recommendations. Our findings shed new light on the black box of analyst decision making, assisting investment practitioners in evaluating the information content produced by different types of analysts and understanding the observed dispersion in analyst forecasts."
6,"Independent director reputation incentives, accruals quality and audit fees","David B. Bryan, Terry W. Mason",https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12435,"While prior research provides abundant evidence that independent directors are associated with favorable outcomes, researchers have only recently started to investigate the impact of independent director reputation incentives. This study examines whether the reputation incentives of independent directors are associated with accruals quality and audit fees. The results reveal a negative relationship between the proportion of independent directors with relatively low reputation incentives and accruals quality. Further, the proportion of independent directors with relatively low reputation incentives is positively associated with audit fees, suggesting that auditors view lower reputation incentives as increasing risk. We also find that Big 4/5 auditor office size moderates the relationship between independent director reputation incentives and audit fees. Specifically, our results indicate that audit fees increase less in response to lower reputation incentives as office size increases, suggesting that larger offices respond to the risks associated with lower reputation incentives more efficiently than smaller offices."
7,Does executive compensation reflect corporate productivity?,Yoon K. Choi,https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12437,"Recent literature has given attention to the effect of CEO‐specific productivity on the structure of CEO compensation. Our paper instead focuses on the effect of a different productivity factor—which we call “corporate productivity”—on CEO compensation. In particular, we show that corporate productivity affects the trade‐off between incentive and risk in a non‐monotonic fashion, which the literature has not yet recognized. Using various empirical proxies for corporate productivity, we show that our results are consistent with the non‐monotonic relation and thus contribute to the debates in the incentive‐risk trade‐off literature. Second, our findings also contribute to the internal capital market literature by exploring the relation between the structure of CEO compensation and excess value."
8,"Security regulations, access to capital markets, and firm performance: Evidence from China","Kun Wang, Zhe Wei, Xing Xiao, Kunpeng Sun",https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12432,"This study explores the cost of security regulations in China, where firms are required to meet a certain profitability benchmark before applying for permission to raise more equity via secondary equity offerings (SEOs). Using a difference‐in‐differences setting, we show that firms affected by the regulation (i.e., firms with high external financing demands (EFD) but profitability lower than the regulatory requirement) significantly underperform their counterparts, while unaffected firms do not. The affected firms’ performance decline increases (decreases) when the requirement of profitability is more (less) restricted. Consistently, the three‐day cumulative abnormal return (CAR) of firms with high EFD is significantly negative (positive) when the regulation is tightened (loosened). Our study provides evidence on how the cost of regulation affects companies that have growth opportunities."
9,Government contracts and US bond yield spreads: A study on costs and benefits of materialized political connections,"Thanh Ngo, Jurica Susnjara",https://onlinelibrary.wiley.com/doi/10.1111/jbfa.12440,"In a 1991–2013 sample of bonds issued by US public firms, we find that the cost of debt (yield spread relative to comparable Treasuries) of suppliers to government agencies is contingent on the strategic importance of the supplier's industry. The yield spreads for strategically unimportant government suppliers are higher than for firms that are not government suppliers. If government contracts serve as tangible evidence of political connections, these higher yield spreads indicate that weaker corporate governance as a cost of political connections outweighs the benefits of said connections. For the subsample of government suppliers from strategically important industries, where the benefits of implicit bailout guarantees and revenue stability outweigh the corporate governance problems, the cost of debt is lower than for firms that are not government suppliers. The higher (lower) cost of debt for strategically unimportant (strategically important) suppliers is confined to contracting with the federal government. Our findings are robust to alternative variable and sample specifications, and to endogeneity concerns."
