,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/jems.12322,no abstract
1,Graduate education and long‐term inventive performance: Evidence from undergraduates' choices during recessions,"Koichiro Onishi, Sadao Nagaoka",https://onlinelibrary.wiley.com/doi/10.1111/jems.12382,"Using individuals' life‐cycle invention data, we investigate how graduate education affects inventive performance and inventors' abilities to absorb and combine diverse knowledge sources. To control for the endogeneity of educational choice, we use the status of college labor markets as an instrumental variable (IV), specifically the difference between the unemployment rate and its long‐run average rate by academic field. We find that graduate education, induced by the IV, significantly enhances inventive performance and the scope of exploited knowledge, exceeding the levels implied by ordinary least squares. Graduate education can have a significant causal effect on inventive capability and performance."
2,Hospital performance standards and medical pricing: The impact of information disclosure in cardiac care,"Avi Dor, William Encinosa, Kathleen Carey",https://onlinelibrary.wiley.com/doi/10.1111/jems.12381,"A policy concern is that the initiation of Hospital Compare (HC) reporting in Medicare provided leverage to insurers in price negotiations for lowering private sector prices without regard to hospital performance. Using the sequential Nash bargaining framework we provide economic intuition to the contrary: while average hospital prices decline under quality disclosures, hospitals with above‐average quality are able to exert a stronger bargaining position, consequently capturing prices above the market rate. To explore this issue empirically we estimate variants of difference‐in‐difference models, examining the effects of the three main scores (heart attack, heart failure, and combined mortalities) on transaction prices of related hospital procedures. States which had similar mandated reporting systems in place before the initiation of HC form the control group. Analyzing claims data of privately insured patients, we find that HC exerted downward pressure on prices. However, hospitals rated “above‐average” captured higher prices, thereby offsetting the overall policy effect fully or partially. Leads and lags analysis lends further support for our difference‐in‐difference approach. We find that highly ranked hospitals received a quality premium of 8–14%, comparable to price effects found in other health care markets. We conclude that HC was effective at constraining prices without penalizing high performers."
3,"Entry limiting agreements: First‐mover advantage, authorized generics, and pay‐for‐delay deals","Farasat A. S. Bokhari, Franco Mariuzzo, Arnold Polanski",https://onlinelibrary.wiley.com/doi/10.1111/jems.12351,"During patent litigation, pay‐for‐delay (P4D) deals involve a payment from a patent holder of a branded drug to a generic drug manufacturer to delay entry and withdraw the patent challenge. In return for staying out of the market, the generic firm receives a payment, and/or an authorized licensed entry at a later date, but before the patent expiration. We examine why such deals are stable when there are multiple potential entrants. We combine the first‐mover advantage for the first generic with the ability of the branded manufacturer to launch an authorized generic (AG) to show when P4D deals are an equilibrium outcome. We further show that limiting a branded firm's ability to launch an AG before entry by a successful challenger will deter such deals. However, removing exclusivity period for the first generic challenger will not."
4,The effects of fuel prices and vehicle sales on fuel‐saving technology adoption in passenger vehicles,"Thomas Klier, Joshua Linn, Yichen C. Zhou",https://onlinelibrary.wiley.com/doi/10.1111/jems.12384,"Although economic theory suggests that both sales and fuel costs affect technology adoption by vehicle manufacturers, there is very little empirical evidence on either effect. We document a strong connection between a vehicle's sales and its energy efficiency. Using a demographics‐driven demand shifter to isolate demand‐side changes in sales, we find that a one standard deviation increase in sales raises efficiency by 0.2%, compared with a mean improvement rate of 1.4% per year between 1997 and 2013. Higher fuel prices also increase technology adoption directly by increasing willingness to pay for fuel cost savings. The results have two implications: manufacturers will continue to focus technological improvements on top selling vehicles; and fuel taxes will have larger effects on technology adoption than fuel economy standards and feebates."
5,"When to haggle, when to hold firm? Lessons from the used‐car retail market",Guofang Huang,https://onlinelibrary.wiley.com/doi/10.1111/jems.12385,"Though haggling has been the conventional way for auto retailers to sell cars, the last two decades have witnessed the systematic adoption of no‐haggle prices by many large dealerships, including the largest new‐ and used‐car dealership chains. This paper develops a structural empirical model to estimate sellers' profits under posted price and haggling, and investigates how market conditions affect sellers' optimal pricing formats. The model incorporates a simple class of bargaining mechanisms into a standard random‐coefficient discrete‐choice model. With the extension, the product‐level demand system is estimated using data with only list prices, and the unobserved price discounts are also recovered in the estimation. The counterfactual experiments yield a few interesting findings. First, dealers' adopted pricing formats seem superior to the alternative ones. Second, dealers enjoying larger market power through vertical differentiation and carrying a large number of models are more likely to have posted price as their optimal pricing format."
6,Use and abuse of regulated prices in electricity markets: “How to regulate regulated prices?”,"David Martimort, Jérôme Pouyet, Carine Staropoli",https://onlinelibrary.wiley.com/doi/10.1111/jems.12383,"We consider the regulation of the tariffs charged by a public utility in the electricity sector. Consumers differ in terms of their privately known demands. When regulating a firm's tariffs, the government is concerned by the redistribution across consumer classes. A conflict between redistribution and screening induces pricing distortions when the firm is a monopoly. Introducing competition with an unregulated fringe improves efficiency but jeopardizes redistribution. In response to this problem, the government may now want to manipulate information about the incumbent's cost to restrict entry and better promote its own redistributive objective. To prevent such obstacle to entry, the government's discretion in fixing the incumbent's regulated tariffs should be restricted by imposing floors or caps on those tariffs and/or by controlling the market share left to the competitive fringe. We highlight the determinants of such limits on discretion and unveil to what extent they depend on the government's redistributive concerns."
7,"Vertical differentiation, product innovation, and dynamic competition",David P. Baron,https://onlinelibrary.wiley.com/doi/10.1111/jems.12348,"This paper presents an infinite horizon dynamic model in which two firms compete in a market vertically differentiated by the qualities of their products and consumers have heterogeneous preferences for quality. Given the product qualities offered, the firms engage in price competition that segments the market. In each period each firm can spend on product innovation that if successful increases the quality of its product. Three types of Markov perfect equilibria are identified. A running–coasting equilibrium exhibits increasing quality dominance with one firm undertaking innovation and the other coasting to free ride on the innovation by the first firm. The firm that coasts can have the larger dynamic payoff, so quality dominance does not imply payoff dominance. A second is a leap‐frog equilibrium in which the trailing firm undertakes innovation to leap into the lead. The trailing firm never innovates solely to narrow the gap with the leader, so catch up strategies are never used. In the third both firms undertake innovation, but if both have innovation successes, product differentiation remains the same and profits are reduced by the cost of innovation. The rivalry between Intel and AMD in microprocessors for personal computers provides a motivating example."
8,"Non‐competes, business dynamism, and concentration: Evidence from a Florida case study","Hyo Kang, Lee Fleming",https://onlinelibrary.wiley.com/doi/10.1111/jems.12349,"Most research on non‐competes has focused on employees; here we study how non‐competes affect firm location choice, growth, and consequent regional concentration, using Florida's 1996 legislative change that eased restrictions on their enforcement. Difference‐in‐differences models show that following the change, establishments of large firms were more likely to enter Florida; they also created a greater proportion of jobs and increased their share of employment in the state. Entrepreneurs or establishments of small firms, in contrast, were less likely to enter Florida following the law change; they also created a smaller proportion of new jobs and decreased their share of employment. Consistent with these location and job creation dynamics, regional business concentration increased following the law change in Florida. Nationwide cross‐sections demonstrate consistent correlations between state‐level non‐compete enforcement and the location, employment, and concentration dynamics illustrated in Florida."
9,Does asymmetric information always help entry deterrence? Can it increase welfare?,"Cesaltina Pacheco Pires, Margarida Catalão‐Lopes",https://onlinelibrary.wiley.com/doi/10.1111/jems.12350,"This paper compares the scenarios of complete and incomplete information in a general model where the incumbent can make a capital investment to deter entry. We show that the informational structure can make an unexpected difference in terms of entry deterrence and efficiency. Although asymmetric information encourages entry deterrence behavior, in some cases it decreases the probability of this behavior inducing no entry and thus promotes competition. In other cases, asymmetric information induces less entry but may lead to higher welfare."
10,"Common ownership, institutional investors, and welfare","Oz Shy, Rune Stenbacka",https://onlinelibrary.wiley.com/doi/10.1111/jems.12380,"This study evaluates the effects of institutional investors' common ownership of firms competing in the same market. Overall, common ownership has two opposing effects: (a) it serves as a device for weakening market competition, and (b) it induces diversification, thereby reducing portfolio risk. We conduct a detailed welfare analysis within which the competition‐softening effects of an increased degree of common ownership is weighted against the associated diversification benefits."
11,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/jems.12321,no abstract
12,Financial contracts as coordination device,"Chloé Le Coq, Sebastian Schwenen",https://onlinelibrary.wiley.com/doi/10.1111/jems.12340,"We study the use of financial contracts as bid‐coordinating device in multi‐unit uniform price auctions. Coordination is required whenever firms face a volunteer's dilemma in pricing strategies: one firm (the “volunteer"") is needed to increase the market clearing price. Volunteering, however, is costly, as inframarginal suppliers sell their entire capacity whereas the volunteer only sells residual demand. We identify conditions under which signing financial contracts solves this dilemma. We test our framework exploiting data on contract positions by large producers in the New York power market. Using a Monte Carlo simulation, we show that the contracting strategy is payoff dominant and provide estimates of the benefits of such strategy."
13,Revealing transactions data to third parties: Implications of privacy regimes for welfare in online markets,"Michael R. Baye, David E. M. Sappington",https://onlinelibrary.wiley.com/doi/10.1111/jems.12337,"We examine the effects of privacy policies regarding transactions (e.g., price/quantity) data on online shopping platforms. Disclosure of transactions data induces consumer signaling behavior that affects merchant pricing decisions and the welfare of platform participants. A profit‐maximizing platform prefers the disclosure policy that maximizes total welfare. Although this policy benefits sophisticated consumers, it harms unsophisticated (myopic) consumers. Consequently, the welfare effects of alternative privacy policies, data breaches, deceptive privacy policies, and opt‐in/opt‐out requirements can differ sharply, depending on the level of consumer sophistication and on other factors such as the prevailing status quo."
14,Movie release strategy: Theory and evidence from international distribution,"Luís Cabral, Gabriel Natividad",https://onlinelibrary.wiley.com/doi/10.1111/jems.12344,"Choosing the right time to release a new movie may be the difference between success and failure. Prior research states that the “bigger” a blockbuster is, the more likely it is (and should be) released during a high‐demand week. We present a theoretical framework which is consistent with this observation but adds a rather surprising theoretical prediction: among non‐blockbuster (i.e., niche) movies, everything else constant, the greater a movie's appeal, the more likely it is released during a low‐demand week. In other words, the relation between movie appeal and high‐demand‐week release is U‐shaped: it decreases at low levels of overall appeal (niche movies) and increases at high levels of overall appeal (blockbusters). We provide intuition for this novel result and argue that it is robust to a number of changes in functional form assumptions. We then show that the theoretical results are consistent with the evidence from an extensive data set on international releases. Specifically, we run a series of movie‐country‐pair regressions with high‐demand‐week‐release as a dependent variable and exogenous shocks to the movie's appeal as an explanatory variable. As predicted by theory, the regression coefficients have opposite signs for the blockbuster and non‐blockbuster cases."
15,"Hospital competition under pay‐for‐performance: Quality, mortality, and readmissions","Domenico Lisi, Luigi Siciliani, Odd Rune Straume",https://onlinelibrary.wiley.com/doi/10.1111/jems.12345,"Health outcomes, such as mortality and readmission rates, are commonly used as indicators of hospital quality and as a basis to design pay‐for‐performance (P4P) incentive schemes. We propose a model of hospital behavior under P4P where patients differ in severity and can choose hospital based on quality. We assume that risk‐adjustment is not fully accounted for and that unobserved dimensions of severity remain. We show that the introduction of P4P which rewards lower mortality and/or readmission rates can weaken or strengthen hospitals' incentive to provide quality. Since patients with higher severity have a different probability of exercising patient choice when quality varies, this introduces a selection bias (patient composition effect) which in turn alters quality incentives. We also show that this composition effect increases with the degree of competition. Critically, readmission rates suffer from one additional source of selection bias through mortality rates since quality affects the distribution of survived patients. This implies that the scope for counterproductive effects of P4P is larger when financial rewards are linked to readmission rates rather than mortality rates."
16,Self‐managed work teams: An efficiency‐rationale for pay compression,"Nana Adrian, Marc Möller",https://onlinelibrary.wiley.com/doi/10.1111/jems.12339,"This paper uncovers a novel mechanism through which pay dispersion can have a negative effect on firm performance, even in the absence of equity or fairness considerations. We use a stylized model of a self‐managed work team to show that, when team‐work involves heterogeneous tasks, the provision of incentives to exert effort conflicts with the provision of incentives to share information relevant for decision‐making. Pay dispersion deteriorates information sharing as it induces workers to conceal “bad news” to maintain their coworkers motivation. The practical implications of our theory are that team empowerment should go hand in hand with pay compression and that empowerment should be avoided when team production involves strongly heterogeneous tasks."
