,title,author,link,abstract
0,"Journal of Futures Markets: Volume 40, Number 9, September 2020",no author,https://onlinelibrary.wiley.com/doi/10.1002/fut.22031,no abstract
1,"Liquidity shocks, commodity financialization, and market comovements","Conghui Hu, Zhibing Li, Xiaoyu Liu",https://onlinelibrary.wiley.com/doi/10.1002/fut.22127,"We explore whether and how liquidity factors influence risk transfers between commodity and stock markets using a composite liquidity index and five different types of liquidity measures. We find that liquidity shocks, including both funding liquidity and market liquidity, are positively associated with comovements between commodity and stock markets after 2000, although the relationship is insignificant before 2000. The structural change indicates that financialization creates a role for adverse liquidity shocks to increase cross‐market correlations. Further evidence shows that the effect of liquidity on cross‐market correlations is state‐dependent and intensifies when liquidity conditions deteriorate and asset returns sustain substantial declines. Our findings are not explained by business cycles."
2,Bid and ask prices of index put options: Which predicts the underlying stock returns?,"Jian Chen, Yangshu Liu",https://onlinelibrary.wiley.com/doi/10.1002/fut.22121,"In this study, we separately estimate the implied volatility from the bid and ask prices of deep out‐of‐the‐money put options on the S&P500 index. We find that the implied volatility of ask prices has stronger predictive power for stock returns than does the implied volatility of bid prices. We identify two sources of the better performance of the ask price implied volatility: one is its stronger predictive power during economic recessions and in the presence of increasing intermediary capital risk, and the other is its richer information about the future market variance risk premium."
3,Metal prices made in China? A network analysis of industrial metal futures,"Pierre L. Siklos, Martin Stefan, Claudia Wellenreuther",https://onlinelibrary.wiley.com/doi/10.1002/fut.22125,"In addition to being the world's greatest consumer and producer of industrial metals, China now also features the most actively traded industrial metal futures contracts worldwide. To examine China's role in the global price formation process of industrial metal futures markets, we use a sample of 29 futures contracts traded on exchanges in the United States, the United Kingdom, India, and China. We estimate vector autoregressive models and conduct variance decompositions, which are then visualized in the form of networks. The results indicate that China, despite its role as key actor in both real and financial industrial metal markets, is a price taker."
4,The role of financial investors in determining the commodity futures risk premium,Mohammad Isleimeyyeh,https://onlinelibrary.wiley.com/doi/10.1002/fut.22122,"I develop and test a model to study the interaction between the commodity and stock markets. This study attempts to clarify the debate about the effect of financialization on commodity markets. Theoretically, the futures risk premium is determined by hedging pressure, stock market returns, and the commodity–equity correlation. Empirically, the effect of the stock market on the energy market became significantly greater for the futures risk premium in the period following the 2008 crisis. Furthermore, hedging pressure is a strong explanatory variable for the futures risk premium in various circumstances."
5,When trading options is not the only option: The effects of single‐stock futures trading on options market quality,"George J. Jiang, Yoshiki Shimizu, Cuyler Strong",https://onlinelibrary.wiley.com/doi/10.1002/fut.22126,"We use the 2008 short‐selling ban to examine the impact of single‐stock futures (SSFs) trading on options market quality. We show that there is a substitution effect between options trading and SSFs trading during the ban period. In addition, our results show that SSFs trading had a significant effect in narrowing the bid‐ask spreads of options contracts. Moreover, compared to stocks without SSFs, stocks with SSFs were less likely to violate put‐call parity during the ban period. Our results suggest that SSFs trading helps mitigate the negative effect of the short‐selling ban on options market quality documented in the literature."
6,"Samuelson hypothesis, arbitrage activity, and futures term premiums","Robert Brooks, Pavel Teterin",https://onlinelibrary.wiley.com/doi/10.1002/fut.22128,"The Samuelson hypothesis asserts that futures volatility increases as maturity decreases. On the basis of 10 US commodity futures and by capturing the dynamics of the futures volatility terms structure with three factors, we show that in most markets the slope factor is strongly negative in certain periods and at best only weakly negative in other periods. High inventory levels are found to correspond to flatter volatility term structures in seven futures. This finding is consistent with the linkage between carry arbitrage and the Samuelson hypothesis. We also find that a flatter volatility term structure corresponds to lower absolute futures term premiums."
7,A revisit to the hedge and safe haven properties of gold: New evidence from China,"Lei Ming, Xinran Zhang, Qianqiu Liu, Shenggang Yang",https://onlinelibrary.wiley.com/doi/10.1002/fut.22124,"We examine the role of gold as a hedge and safe haven from the perspective of Chinese investors. Using the Shanghai Futures Exchange (SHFE)‐Gold futures prices and the CSI 300 index from 2008 to 2017, we find that gold is not a hedge against the Chinese stock market on average. However, gold acts as a safe haven when market returns are below their 1%, 5%, and 10% quantiles and during the two crash periods. Our findings apply to most of the industry sectors as well. We also show that the role of gold can change drastically due to some market policy reforms."
8,"Journal of Futures Markets: Volume 40, Number 8, August 2020",no author,https://onlinelibrary.wiley.com/doi/10.1002/fut.22030,no abstract
9,Editor's Note,Robert I. Webb,https://onlinelibrary.wiley.com/doi/10.1002/fut.22151,no abstract
