,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12649,no abstract
1,Firms’ Management of Infrequent Shocks,"BENJAMIN L. COLLIER, ANDREW F. HAUGHWOUT, HOWARD C. KUNREUTHER, ERWANN O. MICHEL‐KERJAN",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12674,"We examine businesses’ financial management of a rare, severe event using detailed firm‐level data collected following Hurricane Sandy in the New York area. Credit played a prominent role in financing recovery; more negatively affected firms took on debt because of Sandy (39%) than received insurance payments (15%) in our data. Negatively affected firms were frequently credit constrained after the shock. We also find that the most credit‐constrained firms after the event, younger firms, and smaller firms, were the least likely to insure before it. Our findings align with the predictions of dynamic risk management theory (Rampini and Viswanathan 2010, 2013)."
2,The Euro Area Bond Free Float and the Implications for QE,"TOBIAS S. BLATTNER, MICHAEL A. S. JOYCE",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12685,"This paper examines how shocks to government bond duration risk held by price‐sensitive investors affect the euro area term structure of interest rates and the wider macroeconomy. We construct a new measure of the bond “free float,” which adjusts total debt for foreign official holdings and weights by residual maturity. Using a small macrofinance Bayesian Vector Autoregression (VAR) model, we estimate that the first round of asset purchases under the European Central Bank's (ECB) public sector purchase program reduced euro area 10‐year bond yields by around 30 bps in 2015. The positive impact on the output gap and inflation in 2016 was about 0.2 and 0.3 ppt, respectively."
3,A Liquidity‐Based Resolution of the Uncovered Interest Parity Puzzle,"SEUNGDUCK LEE, KUK MO JUNG",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12663,A new monetary theory is set out to resolve the “uncovered interest parity (UIP)” puzzle. It explores the possibility that liquidity properties of money and nominal bonds can account for the puzzle. A key concept in our model is that nominal bonds carry liquidity premia. We show that the UIP can fail to hold under the economic environment where collateral pledgeability and/or liquidity of nominal bonds and/or collateralized credit‐based transactions are relatively bigger. Our liquidity‐based theory can help understanding many empirical observations that risk‐based explanations find difficult to reconcile with.
4,"Money, Asset Prices, and the Liquidity Premium",SEUNGDUCK LEE,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12637,"This paper examines the effect of monetary policy on the market value of the liquidity services that financial assets provide, known as the liquidity premium. The theory predicts that money supply and nominal interest rates have positive effects on the liquidity premium, but asset supply has a negative effect. The empirical analysis with U.S. data confirms the theoretical predictions. The theory also proposes that the liquidity properties of assets can cause negative nominal yields when the money holding cost is low and liquid assets are scarce. The suggestive empirical findings in Switzerland to support this theoretical result are presented."
5,Flow Effects of Central Bank Asset Purchases on Sovereign Bond Prices: Evidence from a Natural Experiment,"ROBERTO A. DE SANTIS, FÉDÉRIC HOLM‐HADULLA",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12665,"We estimate the response of sovereign bond prices to net supply shocks caused by purchase operations under the ECB's Public Sector Purchase Programme (PSPP). To avoid simultaneity bias in the estimated relationship between prices and purchases, we exploit a PSPP feature that renders securities temporarily ineligible for reasons unrelated to their prices. Using these purchase restrictions as an instrument to identify exogenous variation in purchase volumes, we find that PSPP causes statistically significant and economically relevant upward price impacts. The impacts are short‐lived and concentrated in securities issued by higher yield jurisdictions and characterized by higher maturity and lower liquidity."
6,Harmful Procompetitive Effects of Trade in Presence of Credit Market Frictions,"RETO FOELLMI, MANUEL OECHSLIN",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12634,"We explore the consequences of international trade in an economy that encompasses technology choice and an endogenous distribution of mark‐ups due to credit market frictions. We show that in such an environment a gradual opening of trade may—but not necessarily must—have a negative impact on productivity and overall output. The reason is that the procompetitive effects of trade reduce mark‐ups and hence make access to credit more difficult for smaller firms. As a result, smaller firms—while not driven out of the market—may be forced to switch to less productive technologies."
7,Fiscal Policy and Occupational Employment Dynamics,"CHRISTIAN BREDEMEIER, FALKO JUESSEN, ROLAND WINKLER",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12627,"We document substantial heterogeneity in occupational employment dynamics in response to government spending shocks in the United States. Employment rises most strongly in service, sales, and office (“pink‐collar”) occupations. By contrast, employment in blue‐collar occupations is hardly affected by fiscal policy. We provide evidence that occupation‐specific changes in labor demand are key for understanding these findings. We develop a business‐cycle model that explains the heterogeneous occupational employment dynamics as a consequence of composition effects due to heterogeneous employment changes across industries and occupation‐specific within‐industry employment shifts due to differences in the short‐run substitutability between labor and capital services across occupations."
8,Macroprudential Policies in a Low Interest Rate Environment,"MARGARITA RUBIO, FANG YAO",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12662,"In this paper, we analyze the use of macroprudential policies in a low interest rate environment, where an occasionally binding zero lower bound (ZLB) constraint gives rise to aggregate demand externalities. We study this issue by using a dynamic stochastic general equilibrium (DSGE) model with financial frictions and a monetary policy rule that is subject to the ZLB. We find that, in a low interest rate environment, the occasionally binding ZLB creates additional scope for macroprudential intervention. When the interest rate is high and the two policies can perfectly coordinate, the optimal policy prescriptions behave as if they were independent. This is, however, no more the case, when the interest rate is low and/or when monetary policy and macroprudential policy cannot be perfectly coordinating. This more complex policy environment calls for more policy coordination."
9,Nonlinear Effects of Mortgage Spreads Over the Business Cycle,"CHAK HUNG JACK CHENG, CHING‐WAI (JEREMY) CHIU",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12635,"This paper provides robust evidence for the nonlinear effects of mortgage spread shocks during recessions and expansions in the United States. Estimating a smooth‐transition vector autoregression (STVAR) model, we show that mortgage spread shocks hitting in a recessionary phase create significantly deeper and more protracted declines in consumption and housing market variables. In addition, we provide evidence that these mortgage spread shocks could be largely interpreted as credit supply shocks in the mortgage market. Our empirical results imply that unconventional monetary policy, such as the Federal Reserve's mortgage‐backed security purchase program, would be a more effective tool for stabilizing the economy during recessions than in expansions."
10,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12650,no abstract
11,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12647,no abstract
12,The Dynamics of Capital Flow Episodes,"CHRISTIAN FRIEDRICH, PIERRE GUÉRIN",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12614,"We first propose a novel methodology for identifying episodes of strong equity and bond flows using estimates from a regime‐switching model that keeps context‐ and sample‐specific assumptions to a minimum. We then assess the impacts of U.S. stock market volatility (VIX) and U.S. monetary policy shocks on equity and bond flow episodes. Our results indicate that the impacts of both shocks differ across in‐ and outflow episodes and, based on an assessment of equity flows, vary considerably over time. While VIX shocks are mostly associated with asymmetric impacts across episodes, U.S. monetary policy shocks generate such asymmetries primarily over time."
13,Debt and Financial Vulnerability on the Verge of Retirement,"ANNAMARIA LUSARDI, OLIVIA S. MITCHELL, NOEMI OGGERO",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12671,"We analyze older individuals’ debt and financial vulnerability using data from the Health and Retirement Study (HRS) and the National Financial Capability Study (NFCS). In the HRS, we compare three groups of people age 56–61 in 1992, 2004, and 2010, to assess cross‐cohort changes in debt over time. Two waves of the NFCS (2012 and 2015) provide additional insights into debt management and older individuals’ capacity to shield themselves against shocks. We conclude that recent cohorts hold more debt and face more financial insecurity than in the past. This will render them particularly vulnerable to forecasted interest rate increases."
14,Cultural Determinants of Household Saving Behavior,"NICOLA FUCHS‐SCHÜNDELN, PAOLO MASELLA, HANNAH PAULE‐PALUDKIEWICZ",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12659,"Relying on the epidemiological approach, we show that culture is a significant driver of household saving behavior. Second‐generation immigrants from countries that put strong emphasis on thrift or wealth accumulation tend to save more in Germany. We confirm these results in data from the United Kingdom. By linking parents to their children, we show that these two cultural components affect the saving behavior of both first‐generation immigrants and their children."
15,On the Relationship between Domestic Saving and the Current Account: Evidence and Theory for Developing Countries,"MARKUS BRUECKNER, WOJTEK PACZOS, EVI PAPPA",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12658,"We examine the relationship between domestic saving and the current account in developing countries. Our three main findings are that: (i) domestic saving has a small effect on the current account; (ii) domestic saving has a significant positive effect on the trade balance—this effect is much larger than the effect that domestic saving has on the current account; and (iii) domestic saving has a significant negative effect on net‐current transfers. We use countries in the SSA region during the period 1980‐2009 as a laboratory for an instrumental variables (IV) approach. The IV approach enables to obtain estimates of causal effects. Underlying the IV approach is the significant positive first‐stage response of domestic saving to plausibly exogenous annual rainfall: an unanticipated, transitory supply‐side shock. We construct a small open‐economy DSGE model with debt adjustment costs and endogenous current transfers to match the empirical findings. The model enables to examine the relationship between domestic saving and the current account for different types of shocks. An important message of our paper is that, for developing countries, estimates of the relationship between domestic saving and domestic investment are not informative for answering the question how domestic saving affects a country's accumulation of net foreign assets."
16,A Welfare‐Based Analysis of International Monetary Policy Spillovers at the Zero Lower Bound,"ALEX HABERIS, ANNA LIPIŃSKA",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12655,"We study the welfare effects of international monetary policy spillovers at the zero lower bound, focusing on the effects of forward guidance in a large economy (“foreign”) on its smaller trading partner (“home”) in scenarios motivated by the global financial crisis. We find that foreign forward guidance has an overall prosper‐thy‐neighbor effect on the home economy as long as it increases foreign welfare. This finding holds under alternative assumptions about exchange rate pass‐through or the degree of international financial integration. However, foreign forward guidance may worsen the trade‐off between the stabilization objectives of home monetary policy."
17,Endogenous Growth and Real Effects of Monetary Policy: R&D and Physical Capital Complementarities,"PEDRO MAZEDA GIL, GUSTAVO IGLÉSIAS",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12632,"We study the real long‐run effects of the structural stance of monetary policy and of inflation, in the context of a monetary growth model where R&D is complemented with physical capital accumulation. We look into the effects on a set of real macroeconomic variables that have been of interest to policymakers—the economic growth rate, real interest rate, physical investment rate, capital‐to‐labor ratio, R&D intensity, and velocity of money. These variables have been previously analyzed from the perspective of different, separated, strands of the theoretical and empirical literature. Additionally, we analyze the long‐run relationship between inflation and both the effectiveness of real industrial‐policy shocks and the market structure, assessed namely by average firm size. We present novel cross‐country evidence on the empirical relationship between the latter and long‐run inflation."
18,Trade Credit Use as Firms Approach Default,"EMILIA GARCIA‐APPENDINI, JUDIT MONTORIOL‐GARRIGA",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12618,"Using a sample of distressed firms with information about suppliers, we document an average fall in the use of trade credit as firms approach bankruptcy compared to a control sample of nonbankrupt firms. However, we uncover a large degree of heterogeneity across suppliers. Suppliers facing high switching costs maintain their business ties with the distressed firms as they approach bankruptcy, and provide them more trade credit. Suppliers in concentrated markets provide temporary support to their clients. Overall, the findings of this paper suggest that switching costs are fundamental to explain whether suppliers provide liquidity to their distressed clients or not."
19,On the Effectiveness of Loan‐to‐Value Regulation in a Multiconstraint Framework,ANNA GRODECKA,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12623,"Models in the infinite horizon macro‐housing literature often assume that borrowers are constrained exclusively by the loan‐to‐value (LTV) ratio. Motivated by the Swedish microdata, I explore an alternative arrangement where borrowers are constrained by a collateral constraint and by a debt‐service‐to‐income ratio. While stricter LTV limits are often considered as a measure to tackle the rise in household indebtedness, I find that policy designed to lower the maximum permissible LTV ratio may actually leave the debt‐to‐GDP ratio unchanged and increase housing prices in equilibrium if borrowers are bound by two constraints at the same time."
20,How Unsecured Credit Policies Influence Mortgage and Unsecured Loan Defaults,JISEOB KIM,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12620,"Before the global financial crisis, the proportion of households defaulting on the mortgage while remaining current on the unsecured loan was almost the same as the proportion of households current on the mortgage but defaulting on the unsecured loan. After the crisis, the former ratio became higher than the latter. By using a heterogeneous agent model with the mortgage and the unsecured loan, I examine how the order of defaults changed before and after the crisis. I then analyze the impacts of unsecured credit policies on households' mortgage and unsecured loan defaults. My quantitative exercise shows that both default rates can decrease as the cost for unsecured loan defaults increases."
21,Do Stronger Patents Stimulate or Stifle Innovation? The Crucial Role of Financial Development,"ANGUS C. CHU, GUIDO COZZI, HAICHAO FAN, SHIYUAN PAN, MENGBO ZHANG",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12629,"This study explores the effects of patent protection in a research and development (R&D)‐based growth model with financial frictions. We find that whether stronger patent protection stimulates or stifles innovation depends on credit constraints faced by R&D entrepreneurs. When credit constraints are nonbinding (binding), strengthening patent protection stimulates (stifles) R&D. The overall effect of patent protection on innovation follows an inverted‐U pattern. By relaxing the credit constraints, financial development stimulates innovation. Furthermore, patent protection is more likely to have a positive effect on innovation under a higher level of financial development. We consider cross‐country panel regressions and find supportive evidence for this result."
22,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12648,no abstract
23,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12645,no abstract
24,Monetary Equilibrium and the Cost of Banking Activity,"PAOLA BOEL, GABRIELE CAMERA",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12676,"We investigate the effects of banks' operating costs on allocations and welfare in a low interest rate environment. We introduce an explicit production function for banks in a microfounded model where banks employ labor resources, hired on a competitive market, to run their operations. In equilibrium, this generates a spread between interest rates on loans and deposits, which reflects the underlying monetary policy and the efficiency of financial intermediation. In a deflation or low‐inflation environment, equilibrium deposits yield zero returns. Hence, banks soak up labor resources to offer deposits that do not outperform idle balances, thus reducing aggregate efficiency."
25,"Banks' Funding Stress, Lending Supply, and Consumption Expenditure","H. EVREN DAMAR, REINT GROPP, ADI MORDEL",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12673,"We employ a unique identification strategy linking survey data on household consumption expenditure to bank‐level data to estimate the effects of bank funding stress on consumer credit and consumption expenditures. We show that households whose banks were more exposed to funding shocks report lower levels of nonmortgage liabilities. This, however, only translates into lower levels of consumption for low‐income households. Hence, adverse credit supply shocks are associated with significant heterogeneous effects."
26,Inflation‐Indexed Bonds and Nominal Bonds: Financial Innovation and Precautionary Motives,MINWOOK KANG,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12609,This paper introduces a two‐period monetary general equilibrium model with proportional transaction costs on nominal and inflation‐indexed bonds. This paper demonstrates that financial innovation on indexed bonds causes equilibrium interest rates of the nominal bond to increase when agents have precautionary saving motives. This result implies that ignoring precautionary motives would underestimate savers' welfare gain and overestimate borrowers' welfare gain from innovation on indexed bonds.
27,The Effects of State‐Mandated Financial Education on College Financing Behaviors,"CHRISTIANA STODDARD, CARLY URBAN",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12624,"Students entering college have limited financial experience while making complex borrowing decisions. This paper examines a policy lever that may improve these decisions: high school personal finance graduation requirements. We use a difference‐in‐difference strategy to determine their effects on financial aid decisions of incoming freshmen at 4‐year institutions. Our results suggest financial education shifts students from high‐cost to low‐cost financing. The requirements increase aid applications and acceptance of federal loans, while decreasing the likelihood of holding credit card balances. Students from less affluent family backgrounds reduce their likelihoods of working and borrowers from more affluent backgrounds reduce private loan amounts."
28,Labor Market and Financial Shocks: A Time‐Varying Analysis,"FRANCESCO CORSELLO, VALERIO NISPI LANDI",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12638,"We estimate a time‐varying VAR model to analyze the effects of a financial shock on the U.S. labor market. We find that a tightening of financial conditions is highly detrimental to the labor market. We show that while negative financial shocks have been responsible for increases in unemployment, our model does not find significant contributions of financial shocks during periods of expansion. The source of this asymmetry is the time‐varying standard deviation of the identified shock, which is higher in times of financial distress; on the other hand, we find that the transmission mechanism does not significantly change over time."
29,Monetary Policy Uncertainty and the Response of the Yield Curve to Policy Shocks,PETER TILLMANN,https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12657,"This paper studies the nonlinear response of the term structure of interest rates to monetary policy shocks and presents a new stylized fact. We show that uncertainty about monetary policy changes the way the term structure responds to monetary policy. A policy tightening leads to a significantly smaller increase in long‐term bond yields if policy uncertainty is high at the time of the shock. We also look at the decomposition of bond yields into expectations about future policy and the term premium. The weaker response of yields is driven by the fall in term premia, which fall more strongly if uncertainty about policy is high. Conditional on a monetary policy shock, higher uncertainty about monetary policy tends to make securities with longer maturities relatively more attractive to investors. As a consequence, investors demand even lower term premia. These findings are robust to the measurement of monetary policy uncertainty, the definition of the monetary policy shock, and to changing the model specification."
30,On the Value of Virtual Currencies,"WILKO BOLT, MAARTEN R.C. VAN OORDT",https://onlinelibrary.wiley.com/doi/10.1111/jmcb.12619,"Our economic framework suggests that the exchange rate of virtual currency is determined by three components. First, the current value of transactions in virtual currency which absorb part of the exchange rate risk. Second, the decisions and expectations of forward‐looking investors to buy virtual currency (thereby effectively regulating its supply). Third, the elements that jointly drive future consumer adoption and merchant acceptance of virtual currency. The model predicts that, as virtual currency becomes more established, the exchange rate will become less sensitive to the impact of shocks to speculators' beliefs. This undermines the notion that excessive exchange rate volatility will prohibit widespread use of virtual currency."
