,title,author,link,abstract
0,Issue Information: Journal of Risk and Insurance 3/2020,no author,https://onlinelibrary.wiley.com/doi/10.1111/jori.12294,no abstract
1,Market Price of Longevity Risk for a Multi‐Cohort Mortality Model With Application to Longevity Bond Option Pricing,"Yajing Xu, Michael Sherris, Jonathan Ziveyi",https://onlinelibrary.wiley.com/doi/10.1111/jori.12273,"We introduce a multi‐cohort continuous time affine mortality model and, along with an affine arbitrage‐free term structure model, determine implied market prices of longevity risk in the BlackRock CoRI Retirement Indexes. These indexes provide a daily level of estimated cost of lifetime retirement income for 20 cohorts in the United States. Individuals can invest in BlackRock funds that track the indexes that are quoted on the NYSE. We use our model to derive closed‐form expressions for prices of European options on longevity zero‐coupon bonds and show the impact of stochastic mortality on long‐term longevity bond option prices."
2,Correlated Trading by Life Insurers and Its Impact on Bond Prices,"Chia‐Chun Chiang, Greg Niehaus",https://onlinelibrary.wiley.com/doi/10.1111/jori.12276,"Our evidence indicates that U.S. life insurers’ decisions to buy and sell individual corporate bonds are correlated across companies within the life insurance industry. On average, the correlation in sell decisions is greater in smaller bonds, bonds with lower ratings, bonds that have been downgraded, and bonds that have recently experienced relatively large abnormal returns. Correlated trading was also elevated during the financial crisis. In addition, correlated buying and selling are greater when insurers designated as systemically important financial institutions are actively trading. We also find that the bonds that insurers sell in a correlated manner exhibit negative average abnormal returns during the quarter in which insurers are selling. One explanation is that insurers’ correlated selling is temporarily pushing bond prices below their fundamental value. In this case, we would expect prices to bounce back in the subsequent quarter. However, we do not find a rebound in prices and therefore our evidence supports the alternative explanation that insurers’ correlated selling is impounding information into bond prices."
3,Does Having an Affiliated Bank Improve Life Insurer Performance in a Turbulent Market?,Chia‐Chun Chiang,https://onlinelibrary.wiley.com/doi/10.1111/jori.12286,"I find that life insurers with bank affiliates had higher premium growth rates than did other life insurers in 2008. The higher growth is derived mainly from annuity products (deposit‐type insurance products), which are often viewed as substitutes for bank certificates of deposit (CDs). The growth effect is consistent with cross‐selling between affiliated banks and affiliated life insurers. The spread between the guaranteed rates on annuity products and CDs in financial conglomerates widened in 2008, consistent with headquarters differentiating prices to move customers within the same group. In addition, the premium growth effect in 2008 is stronger for life insurers that suffered larger balance sheet shocks, as measured by the change in the risk‐based capital (RBC) ratio. The results support that headquarters used internal markets to reallocate resources to weaker divisions."
4,The Effect of Risk Aversion and Loss Aversion on Equity‐Linked Life Insurance With Surrender Guarantees,Christian Hilpert,https://onlinelibrary.wiley.com/doi/10.1111/jori.12297,"We price equity‐linked life insurance with surrender guarantees and account for risk preferences in the form of risk‐averse and loss‐averse policyholders in continuous time. Risk‐averse policyholders surrender their policy for higher equity index values. Compared to optimally surrendered policies, this behavior creates substantial policy value losses. In contrast, loss‐averse policyholders surrender once the surrender benefit realizes a gain but keep under‐performing policies. This disposition effect reduces the policy value relative to both optimally surrendered policies and policies surrendered by risk‐averse policyholders. Insurers in competitive markets need to estimate their policyholders’ risk preferences accurately."
5,Sunk Costs and Screening: Two‐Part Tariffs in Life Insurance,"James M. Carson, Cameron M. Ellis, Robert E. Hoyt, Krzysztof Ostaszewski",https://onlinelibrary.wiley.com/doi/10.1111/jori.12283,We develop a model of insurance pricing under heterogeneous lapse rates with asymmetric information about lapse likelihood within the context of an optional two‐part tariff as a screening device for future policyholder behavior. We then test for consumer self‐selection using policy‐level data on life insurance backdating. We exploit randomness in the initial tariff size to separately identify the selection and sunk cost effects of backdating on lapse proclivity. We find that consumers who are less likely to lapse self‐select into the two‐part tariff pricing structure and we also document consumer behavior consistent with sunk cost fallacy.
6,"Selection and Redistribution in the Irish Tontines of 1773, 1775, and 1777","Yikang Li, Casey Rothschild",https://onlinelibrary.wiley.com/doi/10.1111/jori.12274,"We construct and analyze a new data set on the mortality experience of the nominees of the 1773, 1775, and 1777 Irish tontines. The active participation of Genevan speculators in these Irish tontines has been well documented. We use our new data to quantify both the extent to which these nominees were longer‐lived and the financial consequences of their enhanced longevity. The Genevan nominees were indeed notably longer‐lived than non‐Genevan nominees—particularly so for the 50 nominees selected by a Genevan investment syndicate. Their enhanced longevity had only trivial financial consequences for the issuer, but it led to significant redistribution from non‐Genevan to Genevan investors. We highlight the implications of this across‐group distributional risk for modern proposals to introduce tontine‐like elements into modern retirement pensions."
7,"Self‐Control, Effort Procrastination, and Competitive Equilibrium in Insurance Markets","Jing Ai, Lin Zhao, Wei Zhu",https://onlinelibrary.wiley.com/doi/10.1111/jori.12275,"This article studies consumers’ self‐control problems in precautionary activities, their contract choices, and the welfare implications in a competitive insurance market. Present bias and consumer naivete both induce consumers to procrastinate or eventually give up precautionary efforts. In consequence, self‐control problems disrupt the monotonicity of consumers’ indifference curve on contract choices, leading to a pooling equilibrium or an absence of risk–coverage correlation, in addition to the classic result of adverse selection. Compulsory insurance raises all consumers’ welfare only in adverse selection, but not in other equilibrium patterns."
8,From Participation To Repurchase: Low Income Households And Micro‐insurance,"Renuka Sane, Susan Thomas",https://onlinelibrary.wiley.com/doi/10.1111/jori.12288,"The article asks what drives the time to repurchase for life and accident insurance contracts in low income households. We use data on customers of a financial services provider from three states in India and find that the probability of repurchase is highest in the first 2 months after the contract expires, and steadily declines after. This suggests a window of opportunity for financial firms and governments to target customers to ensure continuous insurance purchase. Nonmembership of microfinance groups and poor rainfall in the month of expiry affect the time to repurchase adversely. Customers who take longer to repurchase tend to increase the amount of insurance cover."
9,Death by Pokémon GO: The Economic and Human Cost of Using Apps While Driving,"Mara Faccio, John J. McConnell",https://onlinelibrary.wiley.com/doi/10.1111/jori.12301,"We investigate the link between smartphone usage by drivers and increases in insurance premiums by using police accident reports and exploiting the introduction of the augmented reality game Pokémon GO as a natural experiment. We document a disproportionate increase in crashes, vehicular damage, injuries, and fatalities in the vicinity of locations where users can play the game while driving. Ignoring incremental lives lost, the lower bound estimate of the cost of users playing the game while driving translates to an increase in insurance premiums of 2.47 percent."
