,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/rssa.12480,no abstract
1,Multiple‐systems analysis for the quantification of modern slavery: classical and Bayesian approaches,Bernard W. Silverman,https://onlinelibrary.wiley.com/doi/10.1111/rssa.12505,"Multiple‐systems estimation is a key approach for quantifying hidden populations such as the number of victims of modern slavery. The UK Government published an estimate of 10000–13000 victims, constructed by the present author, as part of the strategy leading to the Modern Slavery Act 2015. This estimate was obtained by a stepwise multiple‐systems method based on six lists. Further investigation shows that a small proportion of the possible models give rather different answers, and that other model fitting approaches may choose one of these. Three data sets collected in the field of modern slavery, together with a data set about the death toll in the Kosovo conflict, are used to investigate the stability and robustness of various multiple‐systems‐estimate methods. The crucial aspect is the way that interactions between lists are modelled, because these can substantially affect the results. Model selection and Bayesian approaches are considered in detail, in particular to assess their stability and robustness when applied to real modern slavery data. A new Markov chain Monte Carlo Bayesian approach is developed; overall, this gives robust and stable results at least for the examples considered. The software and data sets are freely and publicly available to facilitate wider implementation and further research."
2,Gender differences in the perception of safety in public transport,"Laila Ait Bihi Ouali, Daniel J. Graham, Alexander Barron, Mark Trompet",https://onlinelibrary.wiley.com/doi/10.1111/rssa.12558,"Concerns over women's safety on public transport systems are commonly reported in the media. We develop statistical models to test for gender differences in the perception of safety and satisfaction on urban metros and buses by using large‐scale unique customer satisfaction data for 28 world cities over the period 2009–2018. Results indicate a significant gender gap in the perception of safety, with women being 10% more likely than men to feel unsafe in metros (6% for buses). This gender gap is larger for safety than for overall satisfaction (3% in metros and 2.5% in buses), which is consistent with safety being one dimension of overall satisfaction. Results are stable across specifications and robust to inclusion of city level and time controls. We find heterogeneous responses by sociodemographic characteristics. Data indicate that 45% of women feel secure in trains and metro stations (and 55% in buses). Thus the gender gap encompasses more differences in transport perception between men and women rather than an intrinsic network fear. Additional models test for the influence of metro characteristics on perceived safety levels and find that more acts of violence, larger carriages and emptier vehicles decrease women's feeling of safety."
3,Simple rules to guide expert classifications,"Jongbin Jung, Connor Concannon, Ravi Shroff, Sharad Goel, Daniel G. Goldstein",https://onlinelibrary.wiley.com/doi/10.1111/rssa.12576,"Judges, doctors and managers are among those decision makers who must often choose a course of action under limited time, with limited knowledge and without the aid of a computer. Because data‐driven methods typically outperform unaided judgements, resource‐constrained practitioners can benefit from simple, statistically derived rules that can be applied mentally. In this work, we formalize long‐standing observations about the efficacy of improper linear models to construct accurate yet easily applied rules. To test the performance of this approach, we conduct a large‐scale evaluation in 22 domains and focus in detail on one: judicial decisions to release or detain defendants while they await trial. In these domains, we find that simple rules rival the accuracy of complex prediction models that base decisions on considerably more information. Further, comparing with unaided judicial decisions, we find that simple rules substantially outperform the human experts. To conclude, we present an analytical framework that sheds light on why simple rules perform as well as they do."
4,A similarity‐based approach for macroeconomic forecasting,"Y. Dendramis, G. Kapetanios, M. Marcellino",https://onlinelibrary.wiley.com/doi/10.1111/rssa.12574,"In the aftermath of the recent financial crisis there has been considerable focus on methods for predicting macroeconomic variables when their behaviour is subject to abrupt changes, associated for example with crisis periods. We propose similarity‐based approaches as a way to handle parameter instability and apply them to macroeconomic forecasting. The rationale is that clusters of past data that match the current economic conditions can be more informative for forecasting than the entire past behaviour of the variable of interest. We apply our methods to predict both simulated data in a set of Monte Carlo experiments, and a broad set of key US macroeconomic indicators. The forecast evaluation exercises indicate that similarity‐based approaches perform well, in general, in comparison with other common time‐varying forecasting methods, and particularly well during crisis episodes."
5,Forecasting of cohort fertility under a hierarchical Bayesian approach,"Joanne Ellison, Erengul Dodd, Jonathan J. Forster",https://onlinelibrary.wiley.com/doi/10.1111/rssa.12566,"Fertility projections are a key determinant of population forecasts, which are widely used by government policy makers and planners. In keeping with the recent literature, we propose an intuitive and transparent hierarchical Bayesian model to forecast cohort fertility. Using Hamiltonian Monte Carlo methods and a data set from the human fertility database, we obtain fertility forecasts for 30 countries. We use scoring rules to assess the predictive accuracy of the forecasts quantitatively; these indicate that our model predicts with an accuracy comparable with that of the best‐performing models in the current literature overall, with stronger performance for countries without a recent structural shift. Our findings support the position of hierarchical Bayesian modelling at the forefront of population forecasting methods."
6,Fulfilling the information need after an earthquake: statistical modelling of citizen science seismic reports for predicting earthquake parameters in near realtime,Francesco Finazzi,https://onlinelibrary.wiley.com/doi/10.1111/rssa.12577,"When an earthquake affects an inhabited area, a need for information immediately arises among the population. In general, this need is not immediately fulfilled by official channels which usually release expert‐validated information with delays of many minutes. Seismology is among the research fields where citizen science projects succeeded in collecting useful scientific information. More recently, the ubiquity of smartphones is giving the opportunity to involve even more citizens. This paper focuses on seismic intensity reports collected through smartphone applications while an earthquake is occurring. The aim is to provide a framework for predicting and updating in near realtime earthquake parameters that are useful for assessing the effect of the earthquake. This is done by using a multivariate space–time model based on time‐varying coefficients and a spatial latent variable. As a case‐study, the model is applied to more than 200000 seismic reports globally collected over a period of around 4 years by the Earthquake Network citizen science project. It is shown how the time‐varying coefficients are needed to adapt the model to an information content that changes with time, and how the spatial latent variable can capture the local seismicity and the heterogeneity in the people's response across the globe."
7,How does temperature vary over time?: evidence on the stationary and fractal nature of temperature fluctuations,"John K. Dagsvik, Mariachiara Fortuna, Sigmund Hov Moen",https://onlinelibrary.wiley.com/doi/10.1111/rssa.12557,"The paper analyses temperature data from 96 selected weather stations world wide, and from reconstructed northern hemisphere temperature data over the last two millennia. Using a non‐parametric test, we find that the stationarity hypothesis is not rejected by the data. Subsequently, we investigate further properties of the data by means of a statistical model known as the fractional Gaussian noise (FGN) model. Under stationarity FGN follows from the fact that the observed data are obtained as temporal aggregates of data generated at a finer (basic) timescale where temporal aggregation is taken over a ‘large’ number of basic units. The FGN process exhibits long‐range dependence. Several tests show that both the reconstructed and most of the observed data are consistent with the FGN model."
8,Change point analysis of historical battle deaths,"Brennen T. Fagan, Marina I. Knight, Niall J. MacKay, A. Jamie Wood",https://onlinelibrary.wiley.com/doi/10.1111/rssa.12578,"It has been claimed and disputed that World War II has been followed by a ‘long peace’: an unprecedented decline of war. We conduct a full change point analysis of well‐documented, publicly available battle deaths data sets, using new techniques that enable the robust detection of changes in the statistical properties of such heavy‐tailed data. We first test and calibrate these techniques. We then demonstrate the existence of changes, independent of data presentation, in the early to mid‐19th century, as the Congress of Vienna system moved towards its collapse, in the early to mid‐20th century, bracketing the World Wars, and in the late 20th century, as the world reconfigured around the end of the Cold War. Our analysis provides a methodology for future investigations and an empirical basis for political and historical discussions."
9,Finding the strength in a weak instrument in a study of cognitive outcomes produced by Catholic high schools,"Siyu Heng, Dylan S. Small, Paul R. Rosenbaum",https://onlinelibrary.wiley.com/doi/10.1111/rssa.12559,"We show that the strength of an instrument is incompletely characterized by the proportion of compliers, and we propose and evaluate new methods that extract more information from certain settings with comparatively few compliers. Specifically, we demonstrate that, for a fixed small proportion of compliers, the presence of an equal number of always‐takers and never‐takers weakens an instrument, whereas the absence of always‐takers or, equivalently, the absence of never‐takers strengthens an instrument. In this statement, the strength of an instrument refers to its ability to recognize and reject a false hypothesis about a structural parameter. Equivalently, the strength of an instrument refers to its ability to exclude from a confidence interval a false value of a structural parameter. This ability is measured by the Bahadur efficiency of a test that assumes that the instrument is flawless, or the Bahadur efficiency of a sensitivity analysis that assumes that the instrument may be somewhat biased. When there are few compliers, the outcomes for most people are unaffected by fluctuations in the instrument, so most of the information about the treatment effect is contained in the tail of the distribution of the outcomes. Exploiting this fact, we propose new methods that emphasize the affected portion of the distribution of outcomes, thereby extracting more information from studies with few compliers. Studies of the effects of Catholic high schools on academic test performance have used ‘being Catholic’ as an instrument for ‘attending a Catholic high school’, and the application concerns such a comparison using the US National Educational Longitudinal Study. Most Catholics did not attend Catholic school, so there are few compliers, but it was rare for non‐Catholics to attend Catholic school, so there are very few always‐takers."
10,On quantifying expert opinion about multinomial models that contain covariates,"Fadlalla G. Elfadaly, Paul H. Garthwaite",https://onlinelibrary.wiley.com/doi/10.1111/rssa.12546,"The paper addresses the task of forming a prior distribution to represent expert opinion about a multinomial model that contains covariates. The task has not previously been addressed. We suppose that the sampling model is a multinomial logistic regression and represent expert opinion about the regression coefficients by a multivariate normal distribution. This logistic–normal model gives a flexible prior distribution that can capture a broad variety of expert opinion. The challenge is to find meaningful assessment tasks that an expert can perform and which should yield appropriate information to determine the values of parameters in the prior distribution, and to develop theory for determining the parameter values from the assessments. A method is proposed that meets this challenge. The method is implemented in interactive easy‐to‐use software that is freely available. It provides a graphical interface that the expert uses to assess quartiles of sets of proportions and the method determines a mean vector and a positive definite covariance matrix to represent the expert's opinions. The assessment tasks chosen yield parameter values that satisfy the usual laws of probability without the expert being aware of the constraints that this imposes. Special attention is given to feedback that encourages the expert to consider his or her opinions from a different perspective. The method is illustrated in an example that shows its viability and usefulness."
