,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/rssb.12331,no abstract
1,Graphical models for extremes,"Sebastian Engelke, Adrien S. Hitz",https://onlinelibrary.wiley.com/doi/10.1111/rssb.12355,"Conditional independence, graphical models and sparsity are key notions for parsimonious statistical models and for understanding the structural relationships in the data. The theory of multivariate and spatial extremes describes the risk of rare events through asymptotically justified limit models such as max‐stable and multivariate Pareto distributions. Statistical modelling in this field has been limited to moderate dimensions so far, partly owing to complicated likelihoods and a lack of understanding of the underlying probabilistic structures. We introduce a general theory of conditional independence for multivariate Pareto distributions that enables the definition of graphical models and sparsity for extremes. A Hammersley–Clifford theorem links this new notion to the factorization of densities of extreme value models on graphs. For the popular class of Hüsler–Reiss distributions we show that, similarly to the Gaussian case, the sparsity pattern of a general extremal graphical model can be read off from suitable inverse covariance matrices. New parametric models can be built in a modular way and statistical inference can be simplified to lower dimensional marginals. We discuss learning of minimum spanning trees and model selection for extremal graph structures, and we illustrate their use with an application to flood risk assessment on the Danube river."
2,A unified data‐adaptive framework for high dimensional change point detection,"Bin Liu, Cheng Zhou, Xinsheng Zhang, Yufeng Liu",https://onlinelibrary.wiley.com/doi/10.1111/rssb.12375,"In recent years, change point detection for a high dimensional data sequence has become increasingly important in many scientific fields such as biology and finance. The existing literature develops a variety of methods designed for either a specified parameter (e.g. the mean or covariance) or a particular alternative pattern (sparse or dense), but not for both scenarios simultaneously. To overcome this limitation, we provide a general framework for developing tests that are suitable for a large class of parameters, and also adaptive to various alternative scenarios. In particular, by generalizing the classical cumulative sum statistic, we construct the U‐statistic‐based cumulative sum matrix 
            
            
C
. Two cases corresponding to common or different change point locations across the components are considered. We then propose two types of individual test statistics by aggregating 
            
            
C
 on the basis of the adjusted Lp‐norm with p ∈ {1,…,∞}. Combining the corresponding individual tests, we construct two types of data‐adaptive tests for the two cases, which are both powerful under various alternative patterns. A multiplier bootstrap method is introduced for approximating the proposed test statistics’ limiting distributions. With flexible dependence structure across co‐ordinates and mild moment conditions, we show the optimality of our methods theoretically in terms of size and power by allowing the dimension d and the number of parameters q to be much larger than the sample size n. An R package called AdaptiveCpt is developed to implement our algorithms. Extensive simulation studies provide further support for our theory. An application to a comparative genomic hybridization data set also demonstrates the usefulness of our proposed methods."
3,A scalable estimate of the out‐of‐sample prediction error via approximate leave‐one‐out cross‐validation,"Kamiar Rahnama Rad, Arian Maleki",https://onlinelibrary.wiley.com/doi/10.1111/rssb.12374,"The paper considers the problem of out‐of‐sample risk estimation under the high dimensional settings where standard techniques such as K‐fold cross‐validation suffer from large biases. Motivated by the low bias of the leave‐one‐out cross‐validation method, we propose a computationally efficient closed form approximate leave‐one‐out formula ALO for a large class of regularized estimators. Given the regularized estimate, calculating ALO requires a minor computational overhead. With minor assumptions about the data‐generating process, we obtain a finite sample upper bound for the difference between leave‐one‐out cross‐validation and approximate leave‐one‐out cross‐validation, |LO−ALO|. Our theoretical analysis illustrates that |LO−ALO|→0 with overwhelming probability, when n,p→∞, where the dimension p of the feature vectors may be comparable with or even greater than the number of observations, n. Despite the high dimensionality of the problem, our theoretical results do not require any sparsity assumption on the vector of regression coefficients. Our extensive numerical experiments show that |LO−ALO| decreases as n and p increase, revealing the excellent finite sample performance of approximate leave‐one‐out cross‐validation. We further illustrate the usefulness of our proposed out‐of‐sample risk estimation method by an example of real recordings from spatially sensitive neurons (grid cells) in the medial entorhinal cortex of a rat."
4,False discovery and its control in low rank estimation,"Armeen Taeb, Parikshit Shah, Venkat Chandrasekaran",https://onlinelibrary.wiley.com/doi/10.1111/rssb.12387,"Models specified by low rank matrices are ubiquitous in contemporary applications. In many of these problem domains, the row–column space structure of a low rank matrix carries information about some underlying phenomenon, and it is of interest in inferential settings to evaluate the extent to which the row–column spaces of an estimated low rank matrix signify discoveries about the phenomenon. However, in contrast with variable selection, we lack a formal framework to assess true or false discoveries in low rank estimation; in particular, the key source of difficulty is that the standard notion of a discovery is a discrete notion that is ill suited to the smooth structure underlying low rank matrices. We address this challenge via a geometric reformulation of the concept of a discovery, which then enables a natural definition in the low rank case. We describe and analyse a generalization of the stability selection method of Meinshausen and Bühlmann to control for false discoveries in low rank estimation, and we demonstrate its utility compared with previous approaches via numerical experiments."
5,Adaptive designs for optimal observed Fisher information,Adam Lane,https://onlinelibrary.wiley.com/doi/10.1111/rssb.12378,"Expected Fisher information can be found a priori and as a result its inverse is the primary variance approximation used in the design of experiments. This is in contrast with the common claim that the inverse of the observed Fisher information is a better approximation of the variance of the maximum likelihood estimator. Observed Fisher information cannot be known a priori; however, if an experiment is conducted sequentially, in a series of runs, the observed Fisher information from previous runs is known. In the current work, two adaptive designs are proposed that use the observed Fisher information from previous runs to inform the design of future runs."
6,Visualizing the effects of predictor variables in black box supervised learning models,"Daniel W. Apley, Jingyu Zhu",https://onlinelibrary.wiley.com/doi/10.1111/rssb.12377,"In many supervised learning applications, understanding and visualizing the effects of the predictor variables on the predicted response is of paramount importance. A shortcoming of black box supervised learning models (e.g. complex trees, neural networks, boosted trees, random forests, nearest neighbours, local kernel‐weighted methods and support vector regression) in this regard is their lack of interpretability or transparency. Partial dependence plots, which are the most popular approach for visualizing the effects of the predictors with black box supervised learning models, can produce erroneous results if the predictors are strongly correlated, because they require extrapolation of the response at predictor values that are far outside the multivariate envelope of the training data. As an alternative to partial dependence plots, we present a new visualization approach that we term accumulated local effects plots, which do not require this unreliable extrapolation with correlated predictors. Moreover, accumulated local effects plots are far less computationally expensive than partial dependence plots. We also provide an R package ALEPlot as supplementary material to implement our proposed method."
7,Quasi‐Bayes properties of a procedure for sequential learning in mixture models,"Sandra Fortini, Sonia Petrone",https://onlinelibrary.wiley.com/doi/10.1111/rssb.12385,"Bayesian methods are often optimal, yet increasing pressure for fast computations, especially with streaming data, brings renewed interest in faster, possibly suboptimal, solutions. The extent to which these algorithms approximate Bayesian solutions is a question of interest, but often unanswered. We propose a methodology to address this question in predictive settings, when the algorithm can be reinterpreted as a probabilistic predictive rule. We specifically develop the proposed methodology for a recursive procedure for on‐line learning in non‐parametric mixture models, which is often referred to as Newton's algorithm. This algorithm is simple and fast; however, its approximation properties are unclear. By reinterpreting it as a predictive rule, we can show that it underlies a statistical model which is, asymptotically, a Bayesian, exchangeable mixture model. In this sense, the recursive rule provides a quasi‐Bayes solution. Although the algorithm offers only a point estimate, our clean statistical formulation enables us to provide the asymptotic posterior distribution and asymptotic credible intervals for the mixing distribution. Moreover, it gives insights for tuning the parameters, as we illustrate in simulation studies, and paves the way to extensions in various directions. Beyond mixture models, our approach can be applied to other predictive algorithms."
8,Superconsistent estimation of points of impact in non‐parametric regression with functional predictors,"Dominik Poß, Dominik Liebl, Alois Kneip, Hedwig Eisenbarth, Tor D. Wager, Lisa Feldman Barrett",https://onlinelibrary.wiley.com/doi/10.1111/rssb.12386,"Predicting scalar outcomes by using functional predictors is a classical problem in functional data analysis. In many applications, however, only specific locations or time points of the functional predictors have an influence on the outcome. Such ‘points of impact’ are typically unknown and must be estimated in addition to estimating the usual model components. We show that our points‐of‐impact estimator enjoys a superconsistent rate of convergence and does not require knowledge or pre‐estimates of the unknown model components. This remarkable result facilitates the subsequent estimation of the remaining model components as shown in the theoretical part, where we consider the case of non‐parametric models and the practically relevant case of generalized linear models. The finite sample properties of our estimators are assessed by means of a simulation study. Our methodology is motivated by data from a psychological experiment in which the participants were asked to rate their emotional state continuously while watching an affective video eliciting a varying intensity of emotional reactions."
9,Optimal alpha spending for sequential analysis with binomial data,"Ivair R. Silva, Martin Kulldorff, W. Katherine Yih",https://onlinelibrary.wiley.com/doi/10.1111/rssb.12379,"For sequential analysis hypothesis testing, various alpha spending functions have been proposed. Given a prespecified overall alpha level and power, we derive the optimal alpha spending function that minimizes the expected time to signal for continuous as well as group sequential analysis. If there is also a restriction on the maximum sample size or on the expected sample size, we do the same. Alternatively, for fixed overall alpha, power and expected time to signal, we derive the optimal alpha spending function that minimizes the expected sample size. The method constructs alpha spending functions that are uniformly better than any other method, such as the classical Wald, Pocock or O’Brien–Fleming methods. The results are based on exact calculations using linear programming. All numerical examples were run by using the R Sequential package."
