,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/rssc.12361,no abstract
1,Longitudinal networks of dyadic relationships using latent trajectories: evidence from the European interbank market,"Federica Bianchi, Francesco Bartolucci, Stefano Peluso, Antonietta Mira",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12413,"Financial markets are ultimately seen as a collection of dyadic transactions. We study the temporal evolution of dyadic relationships in the European interbank market, as induced by monetary transactions registered in the electronic market for interbank deposits (e‐MID) during a period of 10 years (2006–2015). In particular, we keep track of how reciprocal exchange patterns have varied with macro events and exogenous shocks and with the emergence of the Global Financial Crisis in 2008. The approach adopted extends the model of Holland and Leinhardt to a longitudinal setting where individuals’ temporal trajectories for the tendency to connect and reciprocate transactions are explicitly modelled through splines or polynomials, and individual‐specific parameters. We estimate the model by an iterative algorithm that maximizes the log‐likelihood for every ordered pair of units. The empirical application shows that the methodology proposed may be applied to large networks and represents the process of exchange at a fine‐grained level. Further results are available in on‐line supplementary material."
2,Causal mechanism of extreme river discharges in the upper Danube basin network,"Linda Mhalla, Valérie Chavez‐Demoulin, Debbie J. Dupuis",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12415,"Extreme hydrological events in the Danube river basin may severely impact human populations, aquatic organisms and economic activity. One often characterizes the joint structure of extreme events by using the theory of multivariate and spatial extremes and its asymptotically justified models. There is interest, however, in cascading extreme events and whether one event causes another. We argue that an improved understanding of the mechanism underlying severe events is achieved by combining extreme value modelling and causal discovery. We construct a causal inference method relying on the notion of the Kolmogorov complexity of extreme conditional quantiles. Tail quantities are derived by using multivariate extreme value models, and causal‐induced asymmetries in the data are explored through the minimum description length principle. Our method CausEV for causality for extreme values uncovers causal relationships between summer extreme river discharges in the upper Danube basin and finds significant causal links between the Danube and its Alpine tributary Lech."
3,Inference for extreme values under threshold‐based stopping rules,"Anna Maria Barlow, Chris Sherlock, Jonathan Tawn",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12420,"There is a propensity for an extreme value analysis to be conducted as a consequence of a large flooding event. This timing of the analysis introduces bias and poor coverage probabilities into the associated risk assessments and leads subsequently to inefficient flood protection schemes. We explore these problems through studying stochastic stopping criteria and propose new likelihood‐based inferences that mitigate against these difficulties. Our methods are illustrated through the analysis of the river Lune, following its experiencing the UK's largest ever measured flow event in 2015. We show that without accounting for this stopping feature there would be substantial overdesign in response to the event."
4,"A hybrid approach for the stratified mark‐specific proportional hazards model with missing covariates and missing marks, with application to vaccine efficacy trials","Yanqing Sun, Li Qi, Fei Heng, Peter B. Gilbert",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12417,"Deployment of the recently licensed tetravalent dengue vaccine based on a chimeric yellow fever virus, CYD‐TDV, requires understanding of how the risk of dengue disease in vaccine recipients depends jointly on a host biomarker measured after vaccination (neutralization titre—neutralizing antibodies) and on a ‘mark’ feature of the dengue disease failure event (the amino acid sequence distance of the dengue virus to the dengue sequence represented in the vaccine). The CYD14 phase 3 trial of CYD‐TDV measured neutralizing antibodies via case–cohort sampling and the mark in dengue disease failure events, with about a third missing marks. We addressed the question of interest by developing inferential procedures for the stratified mark‐specific proportional hazards model with missing covariates and missing marks. Two hybrid approaches are investigated that leverage both augmented inverse probability weighting and nearest neighbourhood hot deck multiple imputation. The two approaches differ in how the imputed marks are pooled in estimation. Our investigation shows that nearest neighbourhood hot deck imputation can lead to biased estimation without properly selected neighbourhoods. Simulations show that the hybrid methods developed perform well with unbiased nearest neighbourhood hot deck imputations from proper neighbourhood selection. The new methods applied to CYD14 show that neutralizing antibody level is strongly inversely associated with the risk of dengue disease in vaccine recipients, more strongly against dengue viruses with shorter distances."
5,Global household energy model: a multivariate hierarchical approach to estimating trends in the use of polluting and clean fuels for cooking,"Oliver Stoner, Gavin Shaddick, Theo Economou, Sophie Gumy, Jessica Lewis, Itzel Lucio, Giulia Ruggeri, Heather Adair‐Rohani",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12428,"In 2017 an estimated 3 billion people used polluting fuels and technologies as their primary cooking solution, with 3.8 million deaths annually attributed to household exposure to the resulting fine particulate matter air pollution. Currently, health burdens are calculated by using aggregations of fuel types, e.g. solid fuels, as country level estimates of the use of specific fuel types, e.g. wood and charcoal, are unavailable. To expand the knowledge base about effects of household air pollution on health, we develop and implement a novel Bayesian hierarchical model, based on generalized Dirichlet–multinomial distributions, that jointly estimates non‐linear trends in the use of eight key fuel types, overcoming several data‐specific challenges including missing or combined fuel use values. We assess model fit by using within‐sample predictive analysis and an out‐of‐sample prediction experiment to evaluate the model's forecasting performance."
6,Small sample corrections for Wald tests in latent variable models,"Brice Ozenne, Patrick M. Fisher, Esben Budtz‐J⊘rgensen",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12414,"Latent variable models are commonly used in psychology and increasingly used for analysing brain imaging data. Such studies typically involve a small number of participants (n<100), where standard asymptotic results often fail to control the type 1 error appropriately. The paper presents two corrections improving the control of the type 1 error of Wald tests in latent variable models estimated by using maximum likelihood. First, we derive a correction for the bias of the maximum likelihood estimator of the variance parameters. This enables us to estimate corrected standard errors for model parameters and corrected Wald statistics. Second, we use a Student t‐distribution instead of a Gaussian distribution to account for the variability of the variance estimator. The degrees of freedom of the Student t‐distributions are estimated by using a Satterthwaite approximation. A simulation study based on data from two published brain imaging studies demonstrates that combining these two corrections provides superior control of the type 1 error rate compared with the uncorrected Wald test, despite being conservative for some parameters. The methods proposed are implemented in the R package lavaSearch2, which is available from https://cran.r-project.org/web/packages/lavaSearch2."
7,Modelling fuel injector spray characteristics in jet engines by using vine copulas,"Maximilian Coblenz, Simon Holz, Hans‐Jörg Bauer, Oliver Grothe, Rainer Koch",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12421,"The emission requirements for jet engines are becoming more stringent and the combustion process determines pollutant emissions. Therefore, we model the distribution of fuel drops generated by a fuel injector in a jet engine, which can be assumed to be a five‐dimensional problem in terms of drop size, x‐position, y‐position, x‐velocity and y‐velocity. The data are generated by numerical simulations of the fuel atomization process for several jet engine operating conditions. In combustion simulations, the variables are usually assumed to be independent at the start of the simulation, which is clearly not so as our data show. The dependence between some of the variables is non‐monotone and asymmetric, which makes the modelling task difficult. Our aim is to provide a realistic parametric model for the dependence structure. For this, we employ vine copulas which provide a flexible way to construct a multivariate distribution function. However, we need to use non‐standard bivariate copulas as building blocks. Using this copula representation enables us to create realistic samples of fuel spray droplets which improve the prediction of the combustion process and the pollutant emissions. Moreover, this approach is significantly faster than solving the set of differential equations describing fuel disintegration."
8,Simulating gene silencing through intervention analysis,"Vera Djordjilović, Monica Chiogna, Chiara Romualdi",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12412,"We propose a novel method for simulating the effects of gene silencing. Our approach combines relevant subject matter information provided by biological pathways with gene expression levels measured in regular conditions to predict the behaviour of the system after one of the genes has been silenced. We achieve this by modelling gene silencing as an external intervention in a causal graphical model. To account for the uncertainty that is associated with the structure learning of the graphical model, we adopt a bootstrap approach. We illustrate our proposal on a Drosophila melanogaster gene silencing experiment."
9,Global forensic geolocation with deep neural networks,"Neal S. Grantham, Brian J. Reich, Eric B. Laber, Krishna Pacifici, Robert R. Dunn, Noah Fierer, Matthew Gebert, Julia S. Allwood, Seth A. Faith",https://onlinelibrary.wiley.com/doi/10.1111/rssc.12427,"An important problem in modern forensic analyses is identifying the provenance of materials at a crime scene, such as biological material on a piece of clothing. This procedure, which is known as geolocation, is conventionally guided by expert knowledge of the biological evidence and therefore tends to be application specific, labour intensive and often subjective. Purely data‐driven methods have yet to be fully realized in this domain, because in part of the lack of a sufficiently rich source of data. However, high throughput sequencing technologies can identify tens of thousands of fungi and bacteria taxa by using DNA recovered from a single swab collected from nearly any object or surface. This microbial community, or microbiome, may be highly informative of the provenance of the sample, but data on the spatial variation of microbiomes are sparse and high dimensional and have a complex dependence structure that render them difficult to model with standard statistical tools. Deep learning algorithms have generated a tremendous amount of interest within the machine learning community for their predictive performance in high dimensional problems. We present DeepSpace: a new algorithm for geolocation that aggregates over an ensemble of deep neural network classifiers trained on randomly generated Voronoi partitions of a spatial domain. The DeepSpace algorithm makes remarkably good point predictions; for example, when applied to the microbiomes of over 1300 dust samples collected across continental USA, more than half of geolocation predictions produced by this model fall less than 100 km from their true origin, which is a 60% reduction in error from competing geolocation methods. Moreover, we apply DeepSpace to a novel data set of global dust samples collected from nearly 30 countries, finding that dust‐associated fungi alone predict a sample's country of origin with nearly 90% accuracy."
