,title,author,link,abstract
0,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/obes.12317,no abstract
1,Forecasting GDP Growth from Outer Space,Jaqueson K. Galimberti,https://onlinelibrary.wiley.com/doi/10.1111/obes.12361,"We evaluate the usefulness of satellite‐based data on night‐time lights for forecasting GDP growth across a global sample of countries, proposing innovative location‐based indicators to extract new predictive information from the lights data. Our findings are generally favourable to the use of night lights data to improve the accuracy of model‐based forecasts. We also find a substantial degree of heterogeneity across countries in the relationship between lights and economic activity: individually estimated models tend to outperform panel specifications. Key factors underlying the night lights performance include the country's size and income level, logistics infrastructure, and the quality of national statistics."
2,Domestic Violence and Child Mortality in the Developing World,"Samantha Rawlings, Zahra Siddique",https://onlinelibrary.wiley.com/doi/10.1111/obes.12357,"We examine the effect of domestic violence on child mortality using Demographic and Health Surveys from thirty‐two developing countries. We first examine conditional associations between violence faced by the mother and child mortality after controlling for observable confounders. Children of (ever) physically victimized mothers are 0.4, 0.7, and 1.0 pp more likely to die within thirty days, a year, and five years of being born. We find similar associations when examining violence experienced in the last twelve months, although these are no longer statistically significant. The association is statistically significant, and larger, if the mother experiences violence in the last twelve months often, rather than sometimes. Violence is significantly associated with pregnancy loss, suggesting the true effect on mortality is larger than estimates based on live‐births would suggest. We investigate robustness of associations to omitted variable bias, assessing the role of selection on unobservables to estimate lower bounds on the true effect. These continue to indicate economically meaningful positive effects, suggesting selection on unobservables would need to be 2.4–3 times that of selection on observables to nullify the estimated effect. We provide evidence that maternal smoking and breastfeeding practices are mediators in the relationship between domestic violence and child mortality."
3,Identifying the Dynamic Effects of Income Inequality on Crime,Bebonchu Atems,https://onlinelibrary.wiley.com/doi/10.1111/obes.12359,"What happens to crime after an increase in income inequality? The microeconomics literature that attempts to answer this question often employs identification strategies that exploit external sources of variation that provide quasi‐experiments to identify causal effects. In contrast, this paper tackles this question by using structural vector autoregressions (SVAR), a methodology typically employed in modern empirical macroeconomics to identify and estimate dynamic causal effects of exogenous shocks. Unlike the macroeconomic SVAR models that are often applied to time‐series data, we exploit the time series and cross‐sectional dimensions of our data, leading to the estimation of panel SVAR models. Using U.S. state‐level data for the period 1960–2015, our results indicate that structural shocks to inequality increase both violent and property crime. Variance decomposition analyses show that inequality has little explanatory power for movements in crime."
4,The Wage Penalty for Married Women of Career Interruptions: Evidence from the 1970s and the 1990s,"John Bailey Jones, Minhee Kim, Byoung G. Park",https://onlinelibrary.wiley.com/doi/10.1111/obes.12356,"The goal of this paper is to assess how the wage penalty for career interruptions by married women changed between the 1970s and the 1990s. We estimate the wage penalty for career interruptions using the work‐history model and PSID data. We use several approaches to control for various forms of endogeneity and selection bias. Our empirical results suggest that (i) the wage penalty for married women's career interruptions increased from 40.4% to 73.7% over the period, (ii) the ratio of the wage penalty for married women to that of married men also increased, from 1.33 to 2.43, (iii) Blinder–Oaxaca decompositions show that changes in education‐ or occupation‐specific wage penalties account for most of the wage penalty increase."
5,Distributional Effects of a Continuous Treatment with an Application on Intergenerational Mobility,"Brantly Callaway, Weige Huang",https://onlinelibrary.wiley.com/doi/10.1111/obes.12355,"This paper considers the effect of a continuous treatment on the entire distribution of outcomes after adjusting for differences in the distribution of covariates across different levels of the treatment. Our methodology encompasses dose‐response functions, counterfactual distributions, and ‘distributional policy effects’ depending on the assumptions invoked by the researcher. We propose a three‐step estimator that consists of (i) estimating the distribution of the outcome conditional on the treatment and other covariates using quantile regression; (ii) for each value of the treatment, averaging over a counterfactual distribution of the covariates holding the treatment fixed; (iii) converting the resulting counterfactual distribution into parameters of interest that are easy to interpret. We show that our estimators converge uniformly to Gaussian processes and that the empirical bootstrap can be used to conduct uniformly valid inference across a range of values of the treatment. We use our method to study intergenerational income mobility where we consider effects of parents’ income on features of their child's income distribution such as (i) the fraction of children with income below the poverty line; (ii) the variance of child's income; and (iii) the inter‐quantile range of child's income–all as a function of parents’ income."
6,Labour Supply after Inheritances and the Role of Expectations,"Karina Doorley, Nico Pestel",https://onlinelibrary.wiley.com/doi/10.1111/obes.12353,"This paper examines the effect of inheritances on labour supply, distinguishing between unanticipated and anticipated inheritances. We use household and individual level micro‐data for Germany to investigate the effect of inheritances on a number of labour market outcomes. Women are less likely to work full‐time after an inheritance and their desired and actual hours of work decrease by 1–2 per week, on average. The magnitude of the effect is found to be larger and more precisely estimated for households without children and liquidity constrained households. Other margins such as time use outside the labour market and satisfaction are also found to be affected by inheritance receipt."
7,Europe Through the Crisis: Discretionary Policy Changes and Automatic Stabilizers,"Alari Paulus, Iva Valentinova Tasseva",https://onlinelibrary.wiley.com/doi/10.1111/obes.12354,"Tax‐benefit policies affect changes in household incomes through two main channels: discretionary policy changes and automatic stabilizers. We study their role in the EU countries in 2007–14 using an extended decomposition approach. Our results show that the two policy actions often reduced rather than increased inequality of net incomes, and so helped offset the inequality‐increasing impact of growing disparities in gross market incomes. While inequality reductions were achieved mainly through benefits using both routes, policy changes to and the automatic stabilization response of taxes and contributions raised inequality in some countries and lowered it in others."
8,"Private Sector Debt, Financial Constraints, and the Effects of Monetary Policy: Evidence from the US","Max Breitenlechner, Johann Scharler",https://onlinelibrary.wiley.com/doi/10.1111/obes.12349,"We characterize the response of U.S. real GDP to monetary policy shocks conditional on the level of private sector debt and the degree to which financial constraints are binding. To incorporate state‐dependent effects of monetary policy, we use the local projection framework. We find that although the amount of private sector debt potentially weakens the monetary policy transmission mechanism, policy shocks exert substantially larger effects on output when high private debt coincides with binding financial constraints."
9,Campaign Contributions by Non‐profit Executives and Government Grants,Christian Cox,https://onlinelibrary.wiley.com/doi/10.1111/obes.12341,"United States election candidates seek monetary support for their campaigns and many individuals oblige. Non‐profit organizations are limited in their political spending, but their executives, in a personal capacity, are not. This paper investigates whether individual campaign contributions are a political workaround for non‐profits. I pair non‐profit tax filings and Federal Election Commission records to form the first large‐scale panel linking non‐profit executive contributions and non‐profit financials. My analysis covers the 1998, 2000 and 2002 elections for 29,682 non‐profit organizations. I estimate a series of models and find an economically significant, robust and positive relationship."
10,Job Reallocation Dynamics in India: Evidence from Large Manufacturing Plants,"Bhaskar Jyoti Neog, Bimal Kishore Sahoo",https://onlinelibrary.wiley.com/doi/10.1111/obes.12350,"The paper contributes to the limited literature on job reallocation dynamics in Indian manufacturing. The study uses annual data from the Annual Survey of Industries (ASI) for the years 2000–01 to 2015–16. The study finds job reallocation in India to be quite high compared to flexible labour markets such as the United States and Canada. Gross job reallocation shows a rising trend over time, which is driven partially by the increasing share of contract workers in the workforce. There is heterogeneity in the job reallocation dynamics across job types. This is evident in the relative importance of the different job types as plants adjust to permanent and temporary changes in demand. Labour regulations also play an important role in such a process. Finally, in contrast to the evidence for the United States and the United Kingdom, our study found firm evidence to reject the hypothesis that job reallocation is countercyclical in India."
11,Issue Information,no author,https://onlinelibrary.wiley.com/doi/10.1111/obes.12316,no abstract
12,We just estimated twenty million fiscal multipliers,"Jan Čapek, Jesús Crespo Cuaresma",https://onlinelibrary.wiley.com/doi/10.1111/obes.12351,"We analyse the role played by data and specification choices as determinants of the size of the fiscal multipliers obtained using structural vector autoregressive models. The results, based on over twenty million fiscal multipliers estimated for European countries, indicate that many seemingly harmless modelling choices have a significant effect on the size and precision of fiscal multiplier estimates. In addition to the structural shock identification strategy, these modelling choices include the definition of spending and taxes, the national accounts system employed, the use of particular interest rates or inflation measures, or whether data are smoothed prior to estimation. The cumulative effects of such arguably innocuous methodological choices can lead to a change in the spending multipliers of as much as 0.4 points."
