,title,author,link,abstract
0,"State Capacity, Reciprocity, and the Social Contract",Timothy Besley,https://onlinelibrary.wiley.com/doi/10.3982/ECTA16863,This paper explores the role of civic culture in expanding fiscal capacity by developing a model based on reciprocal obligations: citizens pay their taxes and the state provides public goods. Civic culture evolves over time according to the relative payoff of civic‐minded and materialist citizens. A strong civic culture manifests itself as high tax revenues sustained by high levels of voluntary tax compliance and provision of public goods. This captures the idea of government as a reciprocal social contract between the state and its citizens. The paper highlights the role of political institutions and common interests in the emergence of civic culture.
1,"A Comment on: “State Capacity, Reciprocity, and the Social Contract ” by Timothy Besley",Samuel Bowles,https://onlinelibrary.wiley.com/doi/10.3982/ECTA18037,"Treating civic preferences as endogenous and government policies and tax capacities as both an influence on and a consequence of their evolution is an important new strand of thinking to which Besley has contributed. I ask: Does his model provide a convincing explanation of the way that civic cultures and the expansion of the state evolved as a matter of historical fact? And I suggest a number of alternative modeling approaches that both would recognize that policy makers take account of the effects of their policy choices on preferences and, consistent with empirical observations, would support equilibria with culturally heterogeneous rather than homogeneous populations."
2,"A Comment on: “State Capacity, Reciprocity, and the Social Contract ” by Timothy Besley",Alberto Bisin,https://onlinelibrary.wiley.com/doi/10.3982/ECTA18010,no abstract
3,"A Comment on: “State Capacity, Reciprocity, and the Social Contract ” by Timothy Besley",Elias Papaioannou,https://onlinelibrary.wiley.com/doi/10.3982/ECTA18028,"In this note, I discuss avenues for future research stemming from Besley's [this issue] theoretical approach on the interconnections between civicness, institutions, and state‐fiscal capacity. First, I lay down some ideas on how one could extend the framework to model fragility traps that characterize many low‐income countries and study issues related to nation‐building, conflict, and heterogeneity across space and ethnic lines in the provision of public goods. Second, I discuss the relevance of the approach for the analysis of authoritarian populism that is spreading in developed countries and emerging markets."
4,"Reply to: Comments on “State Capacity, Reciprocity, and the Social Contract ”",Timothy Besley,https://onlinelibrary.wiley.com/doi/10.3982/ECTA18011,no abstract
5,On the Empirical Validity of Cumulative Prospect Theory: Experimental Evidence of Rank‐Independent Probability Weighting,['B. Douglas Bernheim'],https://onlinelibrary.wiley.com/doi/10.3982/ECTA16646,"Cumulative Prospect Theory (CPT), the leading behavioral account of decisionmaking under uncertainty, avoids the dominance violations implicit in Prospect Theory (PT) by assuming that the probability weight applied to a given outcome depends on its ranking. We devise a simple and direct nonparametric method for measuring the change in relative probability weights resulting from a change in payoff ranks. We find no evidence that these weights are even modestly sensitive to ranks. Conventional calibrations of CPT preferences imply that the percentage change in probability weights should be an order of magnitude larger than we observe. It follows either that probability weighting is not rank‐dependent, or that the weighting function is nearly linear. Nonparametric measurement of the change in relative probability weights resulting from changes in probabilities rules out the second possibility. Additional tests nevertheless indicate that the dominance patterns predicted by PT do not arise. We reconcile these findings by positing a form of complexity aversion that generalizes the well‐known certainty effect."
6,Optimal Transport Networks in Spatial Equilibrium,['Pablo D. Fajgelbaum'],https://onlinelibrary.wiley.com/doi/10.3982/ECTA15213,"We study optimal transport networks in spatial equilibrium. We develop a framework consisting of a neoclassical trade model with labor mobility in which locations are arranged on a graph. Goods must be shipped through linked locations, and transport costs depend on congestion and on the infrastructure in each link, giving rise to an optimal transport problem in general equilibrium. The optimal transport network is the solution to a social planner's problem of building infrastructure in each link. We provide conditions such that this problem is globally convex, guaranteeing its numerical tractability. We also study cases with increasing returns to transport technologies in which global convexity fails. We apply the framework to assess optimal investments and inefficiencies in the road networks of European countries."
7,Estimating the Effect of Treatments Allocated by Randomized Waiting Lists,['Clément de Chaisemartin'],https://onlinelibrary.wiley.com/doi/10.3982/ECTA16032,"Oversubscribed treatments are often allocated using randomized waiting lists. Applicants are ranked randomly, and treatment offers are made following that ranking until all seats are filled. To estimate causal effects, researchers often compare applicants getting and not getting an offer. We show that those two groups are not statistically comparable. Therefore, the estimator arising from that comparison is inconsistent when the number of waitlists goes to infinity. We propose a new estimator, and show that it is consistent, provided the waitlists have at least two seats. Finally, we revisit an application, and we show that using our estimator can lead to a statistically significant difference with respect to the results obtained using the commonly used estimator."
8,Social Media and Protest Participation: Evidence From Russia,"['Ruben Enikolopov', 'Alexey Makarin']",https://onlinelibrary.wiley.com/doi/10.3982/ECTA14281,"Do new communication technologies, such as social media, alleviate the collective action problem? This paper provides evidence that penetration of VK, the dominant Russian online social network, led to more protest activity during a wave of protests in Russia in 2011. As a source of exogenous variation in network penetration, we use the information on the city of origin of the students who studied with the founder of VK, controlling for the city of origin of the students who studied at the same university several years earlier or later. We find that a 10% increase in VK penetration increased the probability of a protest by 4.6% and the number of protesters by 19%. Additional results suggest that social media induced protest activity by reducing the costs of coordination rather than by spreading information critical of the government. We observe that VK penetration increased pro‐governmental support, with no evidence of increased polarization. We also find that cities with higher fractionalization of network users between VK and Facebook experienced fewer protests, and the effect of VK on protests exhibits threshold behavior."
9,Realized Semicovariances,"['Tim Bollerslev', 'Jia Li', 'Andrew J. Patton']",https://onlinelibrary.wiley.com/doi/10.3982/ECTA17056,"We propose a decomposition of the realized covariance matrix into components based on the signs of the underlying high‐frequency returns, and we derive the asymptotic properties of the resulting realized semicovariance  measures as the sampling interval goes to zero. The first‐order asymptotic results highlight how the same‐sign and mixed‐sign components load differently on economic information related to stochastic correlation and jumps. The second‐order asymptotic results reveal the structure underlying the same‐sign semicovariances, as manifested in the form of co‐drifting and dynamic “leverage” effects. In line with this anatomy, we use data on a large cross‐section of individual stocks to empirically document distinct dynamic dependencies in the different realized semicovariance components. We show that the accuracy of portfolio return variance forecasts may be significantly improved by exploiting the information in realized semicovariances."
